,name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
0,nat.decidable_ball_le._proof_1,-1,-1,-1,-1,-1,-1,-1,-1237
1,cardinal.comm_semiring._proof_5,-1,-1,-1,-1,-1,-1,-1,-1235
2,multiset.lattice._proof_6,-1,-1,-1,-1,-1,-1,-1,-1235
3,nat.pincer_recursion.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1,-1237
4,_private.444637879.add_le_add_iff_left\',-1,-1,-1,-1,-1,-1,-1,-1235
5,list.permutations_aux_append,-1,-1,-1,-1,-1,-1,-1,-1234
6,list.is_prefix.filter_map,-1,-1,-1,-1,-1,-1,-1,-1237
7,strong_induction._main._pack._wf_rec_mk_dec_tactic._aux_1,-1,-1,-1,-1,-1,-1,-1,-1235
8,fintype.decidable_exists_fintype.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
9,finsupp.map_domain.add_monoid_hom_id,-1,-1,-1,-1,-1,-1,-1,-1235
10,matrix.semiring.is_scalar_tower,-1,-1,-1,-1,-1,-1,-1,-1235
11,polynomial.erase_mem_lifts,-1,-1,-1,-1,-1,-1,-1,-1235
12,ideal.radical._proof_1,-1,-1,-1,-1,-1,-1,-1,-1235
13,mv_polynomial.eval₂_comp_right,-1,-1,-1,-1,-1,-1,-1,-1235
14,finset.sup_le_of_le_directed,-1,-1,-1,-1,-1,-1,-1,-1235
15,bdd_below.finite_of_bdd_above,-1,-1,-1,-1,-1,-1,-1,-1235
16,finsupp.single_apply_ne_zero,-1,-1,-1,-1,-1,-1,-1,-1235
17,finsupp.has_int_scalar,-1,-1,-1,-1,-1,-1,-1,-1235
18,is_integral.sum,-1,-1,-1,-1,-1,-1,-1,-1235
19,adjoin_root.field._proof_23,-1,-1,-1,-1,-1,-1,-1,-1235
20,matrix.det_from_blocks_zero₂₁,-1,-1,-1,-1,-1,-1,-1,-1235
21,cardinal.powerlt.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
22,submonoid.multiset_prod_mem,-1,-1,-1,-1,-1,-1,-1,-1235
23,dim_fin_fun,-1,-1,-1,-1,-1,-1,-1,-1235
24,well_ordering_rel.is_well_order.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
25,subgroup.relindex_dvd_index_of_le,-1,-1,-1,-1,-1,-1,-1,-1235
26,sym.repeat_left_injective,-1,-1,-1,-1,-1,-1,-1,-1235
27,matrix.non_unital_non_assoc_semiring,-1,-1,-1,-1,-1,-1,-1,-1235
28,cardinal.aleph_0_mul_mk_eq,-1,-1,-1,-1,-1,-1,-1,-1235
29,dfinsupp.basis.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
30,cardinal.ord_one,-1,-1,-1,-1,-1,-1,-1,-1235
31,supr_Prop_eq,-1,-1,-1,-1,-1,-1,-1,247
32,linear_equiv.symm_neg,-1,-1,-1,-1,-1,-1,-1,247
33,multiplicative.division_comm_monoid._proof_5,-1,-1,-1,-1,-1,-1,-1,247
34,znum.of_int\'._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1,247
35,mul_opposite.non_unital_ring._proof_11,-1,-1,-1,-1,-1,-1,-1,247
36,non_unital_ring_hom.coe_one,-1,-1,-1,-1,-1,-1,-1,247
37,nat.locally_finite_order.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
38,distrib_mul_action_hom.coe_one,-1,-1,-1,-1,-1,-1,-1,247
39,basis.equiv\'._proof_7,-1,-1,-1,-1,-1,-1,-1,247
40,set.subset_inter,-1,-1,-1,-1,-1,-1,-1,247
41,linarith.mul_nonpos,-1,-1,-1,-1,-1,-1,-1,247
42,function.injective.generalized_boolean_algebra._proof_13,-1,-1,-1,-1,-1,-1,-1,247
43,canonically_linear_ordered_semifield.nat_cast._default.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
44,subgroup.normal_comap,-1,-1,-1,-1,-1,-1,-1,247
45,ideal.zero_eq_bot,-1,-1,-1,-1,-1,-1,-1,247
46,commute.cast_int_left,-1,-1,-1,-1,-1,-1,-1,247
47,alternating_map.map_update_self,-1,-1,-1,-1,-1,-1,-1,247
48,ulift.algebra._proof_4,-1,-1,-1,-1,-1,-1,-1,247
49,category_theory.is_equivalence.inv_fun_map,-1,-1,-1,-1,-1,-1,-1,247
50,cycle.inhabited.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
51,linear_equiv.arrow_congr._proof_30,-1,-1,-1,-1,-1,-1,-1,247
52,linear_independent.total_equiv.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
53,ordered_cancel_comm_monoid.to_ordered_comm_monoid.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
54,sub_le_sub_flip,-1,-1,-1,-1,-1,-1,-1,247
55,subring.to_submonoid._proof_2,-1,-1,-1,-1,-1,-1,-1,247
56,function.injective.linear_ordered_comm_monoid_with_zero._proof_1,-1,-1,-1,-1,-1,-1,-1,247
57,finset.Ioo_subset_Icc_self,-1,-1,-1,-1,-1,-1,-1,247
58,finsupp.single_mem_supported,-1,-1,-1,-1,-1,-1,-1,-1235
59,prod.non_unital_ring._proof_15,-1,-1,-1,-1,-1,-1,-1,247
60,add_subgroup.to_int_submodule.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
61,is_coprime.neg_neg_iff,-1,-1,-1,-1,-1,-1,-1,247
62,ulift.group_with_zero.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
63,set.is_simple_order_Ici_iff_is_coatom,-1,-1,-1,-1,-1,-1,-1,247
64,finsupp.equiv_fun_on_fintype_symm_coe,-1,-1,-1,-1,-1,-1,-1,-1235
65,alg_equiv.Pi_congr_right._proof_5,-1,-1,-1,-1,-1,-1,-1,247
66,polynomial.map_bit1,-1,-1,-1,-1,-1,-1,-1,-1235
67,is_lawful_applicative.rec_on,-1,-1,-1,-1,-1,-1,-1,247
68,one_hom.comp_assoc,-1,-1,-1,-1,-1,-1,-1,101
69,non_unital_ring_hom.to_opposite_to_fun,-1,-1,-1,-1,-1,-1,-1,247
70,matrix.to_lin_of_inv.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
71,subgroup.coe_mk,-1,-1,-1,-1,-1,-1,-1,247
72,ulift.non_unital_comm_semiring._proof_12,-1,-1,-1,-1,-1,-1,-1,247
73,ideal.quotient.field._proof_1,-1,-1,-1,-1,-1,-1,-1,-1235
74,distrib_mul_action_hom.to_linear_map._proof_1,-1,-1,-1,-1,-1,-1,-1,247
75,linear_map.ext_iff,-1,-1,-1,-1,-1,-1,-1,247
76,ring.not_is_field_of_subsingleton,-1,-1,-1,-1,-1,-1,-1,247
77,algebra.tensor_product.tensor_product.comm_ring._proof_13,-1,-1,-1,-1,-1,-1,-1,247
78,set.Ioo_self,-1,-1,-1,-1,-1,-1,-1,247
79,function.injective.ordered_ring._proof_18,-1,-1,-1,-1,-1,-1,-1,247
80,finset.decidable_exists_of_decidable_subsets._match_2,-1,-1,-1,-1,-1,-1,-1,-1235
81,monoid_algebra.non_unital_semiring._proof_6,-1,-1,-1,-1,-1,-1,-1,-1235
82,antitone.union,-1,-1,-1,-1,-1,-1,-1,247
83,submodule.finite_dimensional_supr.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
84,dfinsupp.add_comm_group._proof_6,-1,-1,-1,-1,-1,-1,-1,-1235
85,submonoid.to_add_submonoid._proof_6,-1,-1,-1,-1,-1,-1,-1,247
86,fin_two_arrow_equiv_apply,-1,-1,-1,-1,-1,-1,-1,247
87,lcm_dvd_lcm_mul_left,-1,-1,-1,-1,-1,-1,-1,247
88,add_con.add_group._proof_1,-1,-1,-1,-1,-1,-1,-1,247
89,seq_bind_eq,-1,-1,-1,-1,-1,-1,-1,247
90,fin.div_nat,-1,-1,-1,-1,-1,-1,-1,247
91,set.Ioo.no_min_order._match_1,-1,-1,-1,-1,-1,-1,-1,247
92,compl_inj_iff,-1,-1,-1,-1,-1,-1,-1,247
93,eq_zero_of_mul_eq_self_right,-1,-1,-1,-1,-1,-1,-1,247
94,order_hom.fst._proof_1,-1,-1,-1,-1,-1,-1,-1,247
95,canonically_ordered_comm_semiring.mul_assoc,-1,-1,-1,-1,-1,-1,-1,247
96,finite.sigma.finite.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
97,prod.add_comm_monoid.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
98,module.End.semiring._proof_13,-1,-1,-1,-1,-1,-1,-1,247
99,order_iso.add_left_apply,-1,-1,-1,-1,-1,-1,-1,247
100,AddGroup.Mon.has_coe,-1,-1,-1,-1,-1,-1,-1,101
101,monoid_hom.compr₂.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
102,linear_pmap.coprod._proof_2,-1,-1,-1,-1,-1,-1,-1,247
103,finset.val_le_iff_val_subset,-1,-1,-1,-1,-1,-1,-1,-1235
104,with_top.linear_ordered_add_comm_monoid_with_top,-1,-1,-1,-1,-1,-1,-1,247
105,alg_hom.restrict_scalars._proof_1,-1,-1,-1,-1,-1,-1,-1,247
106,ordinal.sup_typein_succ,-1,-1,-1,-1,-1,-1,-1,-1235
107,power_basis.has_sizeof_inst,-1,-1,-1,-1,-1,-1,-1,-1235
108,prod.subtraction_comm_monoid._proof_8,-1,-1,-1,-1,-1,-1,-1,247
109,adjoin_root.mod_by_monic_hom.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
110,antitone_on.dual_left,-1,-1,-1,-1,-1,-1,-1,247
111,prod.left_cancel_add_semigroup.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,101
112,string.has_lt\'.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
113,function.injective.semifield._proof_1,-1,-1,-1,-1,-1,-1,-1,247
114,subsemiring_class.to_non_assoc_semiring._proof_7,-1,-1,-1,-1,-1,-1,-1,247
115,list.lex.is_order_connected._match_1.equations._eqn_5,-1,-1,-1,-1,-1,-1,-1,-1234
116,zero_sub_add_zero_sub_rev,-1,-1,-1,-1,-1,-1,-1,247
117,valuation.has_coe_to_fun,-1,-1,-1,-1,-1,-1,-1,247
118,list.rotate\'_length_mul,-1,-1,-1,-1,-1,-1,-1,247
119,omega_complete_partial_order.has_sizeof_inst,-1,-1,-1,-1,-1,-1,-1,247
120,nat.dvd_add_self_left,-1,-1,-1,-1,-1,-1,-1,247
121,subalgebra.coe_restrict_scalars,-1,-1,-1,-1,-1,-1,-1,247
122,module.to_mul_action_with_zero,-1,-1,-1,-1,-1,-1,-1,247
123,one_half_pos,-1,-1,-1,-1,-1,-1,-1,247
124,category_theory.reflects_isomorphisms_of_reflects_monomorphisms_of_reflects_epimorphisms.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
125,add_con.complete_lattice._proof_17,-1,-1,-1,-1,-1,-1,-1,247
126,rbnode.depth._main.equations._eqn_3,-1,-1,-1,-1,-1,-1,-1,-1237
127,multilinear_map.curry_left._proof_1,-1,-1,-1,-1,-1,-1,-1,247
128,category_theory.split_epi.map_section_,-1,-1,-1,-1,-1,-1,-1,247
129,prod.ordered_comm_group._proof_5,-1,-1,-1,-1,-1,-1,-1,247
130,add_submonoid.left_neg_equiv_symm_from_left_neg,-1,-1,-1,-1,-1,-1,-1,247
131,complete_lattice.inf_continuous\',-1,-1,-1,-1,-1,-1,-1,247
132,alternating_map.has_sub._proof_2,-1,-1,-1,-1,-1,-1,-1,247
133,category_theory.fully_faithful_cancel_right._proof_1,-1,-1,-1,-1,-1,-1,-1,247
134,order_dual.ordered_cancel_comm_monoid._proof_7,-1,-1,-1,-1,-1,-1,-1,247
135,dfinsupp.add_monoid.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
136,add_submonoid.localization_map.eq_iff_eq,-1,-1,-1,-1,-1,-1,-1,247
137,set.preimage_mul_const_interval,-1,-1,-1,-1,-1,-1,-1,247
138,polynomial.content_monomial,-1,-1,-1,-1,-1,-1,-1,-1235
139,category_theory.functor.prod._proof_2,-1,-1,-1,-1,-1,-1,-1,247
140,pi.const_alg_hom.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,247
141,set.Ici,-1,-1,-1,-1,-1,-1,-1,247
142,list.sum_smul,-1,-1,-1,-1,-1,-1,-1,247
143,is_coprime.mul_right_iff,-1,-1,-1,-1,-1,-1,-1,247
144,punit.biheyting_algebra._proof_2,-1,-1,-1,-1,-1,-1,-1,247
145,wcovby_iff_covby_or_le_and_le,-1,-1,-1,-1,-1,-1,-1,247
146,add_opposite.non_unital_comm_semiring._proof_6,-1,-1,-1,-1,-1,-1,-1,247
147,prod.comm_ring._proof_16,-1,-1,-1,-1,-1,-1,-1,247
148,finset.decidable_eq_pi_finset.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
149,norm_num.adc_bit1_bit0,-1,-1,-1,-1,-1,-1,-1,247
150,tactic.norm_num.nat_gcd_helper_dvd_right,-1,-1,-1,-1,-1,-1,-1,247
151,add_subgroup.of_sub._proof_2,-1,-1,-1,-1,-1,-1,-1,247
152,mul_semiring_action.smul_one,-1,-1,-1,-1,-1,-1,-1,247
153,is_integral_closure.algebra_map_lift,-1,-1,-1,-1,-1,-1,-1,-1235
154,tsub_tsub_tsub_cancel_right,-1,-1,-1,-1,-1,-1,-1,247
155,add_monoid_algebra.ring._proof_12,-1,-1,-1,-1,-1,-1,-1,-1235
156,multiset.fold_cons\'_left,-1,-1,-1,-1,-1,-1,-1,-1235
157,category_theory.functor.map_arrow_obj_left,-1,-1,-1,-1,-1,-1,-1,247
158,additive.canonically_linear_ordered_add_monoid._proof_1,-1,-1,-1,-1,-1,-1,-1,247
