name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
ack_three,-1,-1,-1,-1,-1,-1,-1,-1235
Action.actionPunitEquivalence.proof_3,-1,-1,-1,-1,-1,-1,-1,-1239
Action.whiskerRight_hom,-1,-1,-1,-1,-1,-1,-1,-1239
AddCircle.instDivisibleByInt.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
AddCommGroupCat.hasColimitsOfShape,-1,-1,-1,-1,-1,-1,-1,-1239
AddCommGroupCat.instPreadditive.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
AddCommGroupCat.wellPowered_addCommGroupCat,-1,-1,-1,-1,-1,-1,-1,-1239
AddCommMonoid.natModule,-1,-1,-1,-1,-1,-1,-1,-1239
AddCon.addMonoid.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
AddCon.kerLift.proof_1,80959,23151133507,8016727667,29828101262,997,5877705859,2541705729,1
addEquivIsoAddMonCatIso.proof_2,-1,-1,-1,-1,-1,-1,-1,-1239
AddEquiv.toMultiplicative_symm_apply_symm_apply,-1,-1,-1,-1,-1,-1,-1,-1235
AddGroup.add_left_neg,-1,-1,-1,-1,-1,-1,-1,-1239
AddGroupCat.instGroupα_1.eq_1,-1,-1,-1,-1,-1,-1,-1,-1239
Additive.isAddSubgroup,-1,-1,-1,-1,-1,-1,-1,-1239
Additive.orderedAddCommGroup.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
AddMagma.FreeAddSemigroup.map,-1,-1,-1,-1,-1,-1,-1,-1235
AddMonCat.FilteredColimits.colimitZero.eq_1,-1,-1,-1,-1,-1,-1,-1,-1239
AddMonoidAlgebra.nonUnitalCommRing.proof_4,-1,-1,-1,-1,-1,-1,-1,-1239
AddMonoidHom.inverse,-1,-1,-1,-1,-1,-1,-1,-1239
AddOpposite.instNatCast.eq_1,196378,17330313445,18537803095,68360617476,1030,14096467412,490102551,1
AddOpposite.instRing.proof_2,-1,-1,-1,-1,-1,-1,-1,-1239
AddSemigroupCat.hasForgetToAddMagmaCat.eq_1,-1,-1,-1,-1,-1,-1,-1,-1239
AddSubgroup.continuousVAdd,-1,-1,-1,-1,-1,-1,-1,-1239
AddSubmonoid.iSup_eq_mrange_dfinsupp_sumAddHom,-1,-1,-1,-1,-1,-1,-1,-1239
AddSubmonoid.map_inl.match_2,-1,-1,-1,-1,-1,-1,-1,101
AddUnits.instZero,-1,-1,-1,-1,-1,-1,-1,-1239
Aesop.EqualUpToIds.GoalContext._sizeOf_1,-1,-1,-1,-1,-1,-1,-1,-1235
Aesop.expandGoal.fmtNorm,-1,-1,-1,-1,-1,-1,-1,101
Aesop.MVarClusterRef.checkIntroducedMVars,-1,-1,-1,-1,-1,-1,-1,101
Aesop.Queue.noConfusionType,-1,-1,-1,-1,-1,-1,-1,101
Aesop.RuleName.instOrd,-1,-1,-1,-1,-1,-1,-1,-1237
Aesop.runTacticMAsTermElabM,-1,-1,-1,-1,-1,-1,-1,-1235
Aesop.StructuredScriptBuilder.ofTactics,-1,-1,-1,-1,-1,-1,-1,101
AffineBasis.coords_apply,-1,-1,-1,-1,-1,-1,-1,-1239
AffineMap.ext,-1,-1,-1,-1,-1,-1,-1,-1239
AffineSubspace.mem_perpBisector_pointReflection_iff_inner_eq_zero,-1,-1,-1,-1,-1,-1,-1,-1239
AkraBazziRecurrence.dist_r_b,-1,-1,-1,-1,-1,-1,-1,-1235
AlgebraicGeometry.PresheafedSpace.ofRestrict.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
AlgebraicGeometry.PresheafedSpace.ofRestrict_top_c,-1,-1,-1,-1,-1,-1,-1,-1239
AlgebraicGeometry.ProjIsoSpecTopComponent.FromSpec.carrier.zero_mem,-1,-1,-1,-1,-1,-1,-1,-1239
AlgebraicGeometry.QuasiCompact.affineProperty.eq_1,-1,-1,-1,-1,-1,-1,-1,-1239
AlgebraicGeometry.Scheme.OpenCover.gluedCoverT\\'.proof_5,-1,-1,-1,-1,-1,-1,-1,-1239
AlgebraicGeometry.Scheme.Pullback.openCoverOfLeft_obj,-1,-1,-1,-1,-1,-1,-1,-1239
AlgebraicGeometry.StructureSheaf.toStalk_stalkSpecializes,-1,-1,-1,-1,-1,-1,-1,-1239
Algebra.ofId_apply,-1,-1,-1,-1,-1,-1,-1,-1239
Algebra.TensorProduct.opAlgEquiv.proof_4,-1,-1,-1,-1,-1,-1,-1,-1239
Algebra.TensorProduct.productMap.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
AlgEquiv.op.proof_5,-1,-1,-1,-1,-1,-1,-1,-1239
AlgEquiv.piCongrRight,-1,-1,-1,-1,-1,-1,-1,-1239
AlgHom.coe_to_nonUnitalAlgHom,-1,-1,-1,-1,-1,-1,-1,-1239
AList.extract.match_1,-1,-1,-1,-1,-1,-1,-1,-1000
allNamesByModule.match_1,282032,19413910794,30300297296,108252687664,1022,21736019674,2135307354,1
AlternatingMap.coe_compLinearMap,-1,-1,-1,-1,-1,-1,-1,-1239
ArithmeticFunction.termσ,-1,-1,-1,-1,-1,-1,-1,-1239
Array.size_modify,-1,-1,-1,-1,-1,-1,-1,-1235
Associated.prime,-1,-1,-1,-1,-1,-1,-1,-1239
_auto._.Mathlib.CategoryTheory.Limits.Shapes.RegularMono._hyg.1173,-1,-1,-1,-1,-1,-1,-1,-1239
_auto._.Mathlib.Tactic.NormNum.Result._hyg.3109,-1,-1,-1,-1,-1,-1,-1,-1239
_auto._.Mathlib.Topology.ContinuousFunction.NonUnitalFunctionalCalculus._hyg.10488,-1,-1,-1,-1,-1,-1,-1,-1239
_auto._.Mathlib.Topology.Order.Monotone._hyg.203,-1,-1,-1,-1,-1,-1,-1,-1239
Basis.SmithNormalForm.mk.injEq,-1,-1,-1,-1,-1,-1,-1,-1239
bernoulliPowerSeries_mul_exp_sub_one,-1,-1,-1,-1,-1,-1,-1,-1239
Besicovitch.BallPackage.noConfusionType,-1,-1,-1,-1,-1,-1,-1,-1239
Besicovitch.goodτ,-1,-1,-1,-1,-1,-1,-1,-1239
Bifunctor.mapEquiv.proof_1,-1,-1,-1,-1,-1,-1,-1,-1235
Bipointed.coe_of,56567,16783061467,4698471250,18639458482,1261,3789854144,340977839,1
Bipointed.swap,-1,-1,-1,-1,-1,-1,-1,-1239
bit0_eq_two_mul,-1,-1,-1,-1,-1,-1,-1,-1239
BitVec.toNat_xor,-1,-1,-1,-1,-1,-1,-1,-1234
Bool.inf_eq_band,-1,-1,-1,-1,-1,-1,-1,-1239
BoolRing.instConcreteCategory,-1,-1,-1,-1,-1,-1,-1,-1239
borel_eq_generateFrom_Ici,-1,-1,-1,-1,-1,-1,-1,-1239
Bornology.IsBounded.exists_pos_norm_lt\\',-1,-1,-1,-1,-1,-1,-1,-1239
Bornology.IsBounded.image_fst,-1,-1,-1,-1,-1,-1,-1,-1239
Bornology.isVonNBounded_covers,-1,-1,-1,-1,-1,-1,-1,-1239
Bornology.ofDist.proof_2,-1,-1,-1,-1,-1,-1,-1,-1239
bot_isPrincipal,-1,-1,-1,-1,-1,-1,-1,-1239
boundariesToCycles\\'NatTrans_app,-1,-1,-1,-1,-1,-1,-1,-1239
BoundedContinuousFunction.dist_extend_extend,-1,-1,-1,-1,-1,-1,-1,-1239
BoundedContinuousFunction.toLp_denseRange,-1,-1,-1,-1,-1,-1,-1,-1239
BoxIntegral.BoxAdditiveMap.mk.sizeOf_spec,-1,-1,-1,-1,-1,-1,-1,-1239
BoxIntegral.Prepartition.filter_true,-1,-1,-1,-1,-1,-1,-1,-1239
btw_refl_left,-1,-1,-1,-1,-1,-1,-1,-1239
CanonicallyLinearOrderedSemifield.mul_inv_cancel,-1,-1,-1,-1,-1,-1,-1,-1239
Cardinal.add_one_eq,-1,-1,-1,-1,-1,-1,-1,-1235
Cardinal.mk_finsupp_lift_of_fintype,-1,-1,-1,-1,-1,-1,-1,-1235
CategoryTheory.Abelian.PullbackToBiproductIsKernel.isLimitPullbackToBiproduct,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Adhesive.van_kampen\\',-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Adjunction.conesIso.proof_3,-1,-1,-1,-1,-1,-1,-1,-1239
