name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
Init.Data.Option.Lemmas._auxLemma.8,-1,-1,-1,-1,-1,-1,-1,-1235
Classical.not_forall_not,-1,-1,-1,-1,-1,-1,-1,-1235
Lean.unifConstraint,-1,-1,-1,-1,-1,-1,-1,-1239
Lean.Parser.Tactic.Conv.simpMatch,-1,-1,-1,-1,-1,-1,-1,-1239
Lean.version.getSpecialDesc,-1,-1,-1,-1,-1,-1,-1,-1239
Lean.Parser.equalS,-1,-1,-1,-1,-1,-1,-1,-1239
String.singleton,-1,-1,-1,-1,-1,-1,-1,-1239
BitVec.cast_eq,-1,-1,-1,-1,-1,-1,-1,101
instInhabitedSubstring,-1,-1,-1,-1,-1,-1,-1,-1239
Nat.Linear.Expr.eq_of_toNormPoly_eq,-1,-1,-1,-1,-1,-1,-1,-1235
Lean.Name.appendCore,-1,-1,-1,-1,-1,-1,-1,-1237
String.instInhabitedString,-1,-1,-1,-1,-1,-1,-1,-1239
seqRight_eq_bind,-1,-1,-1,-1,-1,-1,-1,-1235
Lean.mkCIdent,-1,-1,-1,-1,-1,-1,-1,-1239
String.dropWhile,-1,-1,-1,-1,-1,-1,-1,-1239
IO.waitAny,-1,-1,-1,-1,-1,-1,-1,-1239
BitVec.toNat_zeroExtend\\',-1,-1,-1,-1,-1,-1,-1,101
System.FilePath.metadata,-1,-1,-1,-1,-1,-1,-1,-1239
Int.le_min,-1,-1,-1,-1,-1,-1,-1,-1235
BitVec.eq_of_toFin_eq,-1,-1,-1,-1,-1,-1,-1,101
Nat.lt_add_of_pos_left,-1,-1,-1,-1,-1,-1,-1,-1234
Lean.Syntax.node.inj,-1,-1,-1,-1,-1,-1,-1,-1237
Lean.Syntax.instReprPreresolved,-1,-1,-1,-1,-1,-1,-1,-1239
Lean.Syntax.getKind.match_1,-1,-1,-1,-1,-1,-1,-1,-1237
Subarray.getD,-1,-1,-1,-1,-1,-1,-1,101
instInhabitedUInt16,-1,-1,-1,-1,-1,-1,-1,-1237
Quotient.ind₂,-1,-1,-1,-1,-1,-1,-1,-1235
Lean.Syntax.instReprTSyntax,-1,-1,-1,-1,-1,-1,-1,-1239
BitVec.zeroExtend,-1,-1,-1,-1,-1,-1,-1,101
Lean.Parser.Category.conv,2948,1451454222,893939682,2430140879,415,611072673,177799793,1
