name,size
int.add_group,1
int.linear_ordered_comm_ring,1
int.add_comm_semigroup,1
int.add_comm_monoid,1
int.add_comm_group,1
int.add_monoid,1
int.add_semigroup,1
int.semigroup,1
int.comm_semigroup,1
int.comm_semiring,1
int.linear_ordered_add_comm_group,1
string,2
unit,2
tactic.id_tag.rw,2
unit.star,2
tactic.id_tag.simp,2
trivial,2
tactic.id_tag.conv,2
tactic.id_tag.assoc_proof,2
well_founded_tactics.id_tag.wf,2
string.iterator,2
library_note.implicit,2
library_note.forgetful,2
library_note.dsimp,2
_private.1165308017.tagged_proof.wf,2
CommSemiRing.inhabited,2
tactic.id_tag.rsimp,2
library_note.open,2
library_note.coercion,2
library_note.nolint_ge,2
library_note.partially,2
library_note.fact,2
library_note.custom,2
library_note.lower,2
library_note.bundled,2
_private.754422749.tagged_proof.rsimp,2
library_note.simp,2
quotient_group._to_additive,2
library_note.slow,2
mathlib_dir_locator,2
library_note.range,2
library_note.use,2
library_note.decidable,2
library_note.category_theory,2
localization._to_additive,2
library_note.user,2
library_note.function,2
library_note.pointwise,2
library_note.likely,2
library_note.decidable,2
tactic.squeeze_loc_attr_carrier,2
library_note.operator,2
ordered_ring.zero,3
linear_ordered_ring.zero,3
linear_ordered_ring.one,3
linear_ordered_comm_ring.zero,3
linear_ordered_comm_ring.one,3
ordered_ring.one,3
division_ring.zero,3
division_ring.one,3
field.zero,3
field.one,3
list.is_rotated.setoid,3
linear_ordered_field.zero,3
linear_ordered_field.one,3
part_enat,3
Ring,3
Group,3
Mon,3
AddMon,3
AddCommMon,3
CommGroup,3
AddGroup,3
AddCommGroup,3
CommMon,3
CommSemiRing,3
SemiRing,3
ordered_comm_ring.zero,3
ordered_comm_ring.one,3
CommRing,3
expr.address,3
tactic.list_Pi,3
tactic.tag,3
tactic.list_Sigma,3
Ab,3
string.empty,4
out_param,4
ring.to_non_assoc_ring,4
ordered_ring.to_ordered_add_comm_group,4
ordered_ring.neg,4
linear_ordered_ring.to_ordered_ring,4
linear_ordered_ring.neg,4
linear_ordered_ring.int_cast,4
linear_ordered_ring.nat_cast,4
linear_ordered_comm_ring.to_linear_ordered_ring,4
linear_ordered_comm_ring.neg,4
linear_ordered_comm_ring.int_cast,4
linear_ordered_comm_ring.nat_cast,4
ordered_ring.to_ring,4
ordered_ring.int_cast,4
ordered_ring.nat_cast,4
order_dual,4
add_opposite,4
generalized_boolean_algebra.to_generalized_coheyting_algebra,4
boolean_algebra.to_generalized_boolean_algebra,4
boolean_algebra.to_distrib_lattice,4
biheyting_algebra.to_heyting_algebra,4
boolean_algebra.to_biheyting_algebra,4
division_ring.to_ring,4
division_ring.neg,4
division_ring.int_cast,4
division_ring.nat_cast,4
field.to_division_ring,4
field.neg,4
field.int_cast,4
field.nat_cast,4
field.inv,4
field.rat_cast,4
division_ring.to_div_inv_monoid,4
division_ring.inv,4
field.to_semifield,4
linear_ordered_ring.to_linear_order,4
linear_ordered_ring.to_linear_ordered_add_comm_group,4
complete_distrib_lattice.to_coframe,4
complete_boolean_algebra.to_complete_distrib_lattice,4
multiplicative,4
comm_ring.to_comm_semiring,4
conditionally_complete_linear_order_bot.to_conditionally_complete_linear_order,4
division_ring.to_has_rat_cast,4
division_ring.rat_cast,4
linear_ordered_field.to_field,4
linear_ordered_field.neg,4
linear_ordered_field.int_cast,4
linear_ordered_field.nat_cast,4
linear_ordered_field.inv,4
linear_ordered_field.rat_cast,4
linear_ordered_field.to_linear_ordered_comm_ring,4
comm_ring.to_non_unital_comm_ring,4
division_ring.to_division_semiring,4
euclidean_domain.to_nontrivial,4
field.to_euclidean_domain._proof_1,4
euclidean_domain.to_comm_ring,4
mul_opposite,4
additive,4
lex,4
opposite,4
division_ring.to_nontrivial,4
complete_distrib_lattice.to_frame,4
euclidean_domain.has_div,4
euclidean_domain.has_mod,4
complete_boolean_algebra.to_boolean_algebra,4
conj_act,4
field.to_comm_ring,4
linear_ordered_ring.to_nontrivial,4
biheyting_algebra.to_coheyting_algebra,4
ordered_comm_ring.to_ordered_ring,4
ordered_comm_ring.neg,4
ordered_comm_ring.int_cast,4
ordered_comm_ring.nat_cast,4
linear_ordered_comm_ring.to_comm_monoid,4
ordered_comm_ring.to_comm_ring,4
linear_ordered_comm_ring.to_ordered_comm_ring,4
as_linear_order,4
coheyting_algebra.to_distrib_lattice,4
quiver.empty,4
lean.special_version_desc,4
nat.has_zero,5
not,5
nat.has_le,5
decidable.true,5
ordered_ring.add,5
ordered_ring.nsmul,5
ordered_ring.sub,5
ordered_ring.zsmul,5
ordered_ring.le,5
ordered_ring.lt,5
linear_ordered_ring.add,5
linear_ordered_ring.nsmul,5
linear_ordered_ring.sub,5
linear_ordered_ring.zsmul,5
linear_ordered_ring.mul,5
linear_ordered_ring.npow,5
linear_ordered_ring.le,5
linear_ordered_ring.lt,5
linear_ordered_comm_ring.add,5
linear_ordered_comm_ring.nsmul,5
linear_ordered_comm_ring.sub,5
linear_ordered_comm_ring.zsmul,5
linear_ordered_comm_ring.mul,5
linear_ordered_comm_ring.npow,5
linear_ordered_comm_ring.le,5
linear_ordered_comm_ring.lt,5
linear_ordered_comm_ring.max,5
linear_ordered_comm_ring.min,5
ordered_ring.mul,5
ordered_ring.npow,5
set,5
division_ring.add,5
division_ring.nsmul,5
division_ring.sub,5
division_ring.zsmul,5
division_ring.mul,5
division_ring.npow,5
field.add,5
field.nsmul,5
field.sub,5
field.zsmul,5
field.mul,5
field.npow,5
field.div,5
field.zpow,5
field.qsmul,5
division_ring.div,5
division_ring.zpow,5
linear_ordered_ring.max,5
linear_ordered_ring.min,5
true.inhabited,5
nat.inhabited,5
linear_ordered_field.add,5
linear_ordered_field.nsmul,5
linear_ordered_field.sub,5
linear_ordered_field.zsmul,5
linear_ordered_field.mul,5
linear_ordered_field.npow,5
linear_ordered_field.div,5
linear_ordered_field.zpow,5
linear_ordered_field.qsmul,5
linear_ordered_field.le,5
linear_ordered_field.lt,5
linear_ordered_field.max,5
linear_ordered_field.min,5
free_add_monoid,5
with_top,5
subring.center,5
ordered_comm_ring.add,5
with_bot,5
sort.inhabited,5
rat.smul_division_ring,5
division_ring.qsmul,5
free_monoid,5
enat,5
with_zero,5
num.has_zero,5
pos_num.has_one,5
znum.has_zero,5
occurrences.inhabited,5
category_theory.large_category,5
euclidean_domain.r,5
euclidean_domain.quotient,5
euclidean_domain.remainder,5
with_one,5
