,name,size
15,tactic.id_tag.simp,2
67,Group,3
121,linear_ordered_ring.to_linear_order,4
92,linear_ordered_ring.int_cast,4
315,tactic.suggest.head_symbol_match.inhabited,5
251,vm_obj_kind.inhabited,5
309,punit.inhabited,5
425,tactic.dsimp_config.proj._default,6
414,tactic.interactive.mono_cfg.unify._default,6
325,infer_instance,6
500,prod.non_assoc_ring,9
549,feature_search.predictor_type.mepo.inj,10
677,io.mode.read.inj,10
662,AddCommMon.equations._eqn_1,10
552,environment.implicit_infer_kind.none.inj,10
835,lex.non_unital_semiring,11
744,empty.rec_on,11
916,state,12
921,smt_config.cc_cfg,12
940,functor.const.mk,12
925,environment.projection_info.is_class,12
918,monoid.End,12
992,lean.special_version_desc.equations._eqn_1,13
987,omega_complete_partial_order.continuous_hom.inhabited,13
1078,pos_num.has_one.equations._eqn_1,15
1124,linarith.linexp.equations._eqn_1,16
1136,free_add_monoid.equations._eqn_1,16
1106,list.sorted_nil,16
1154,peirce',17
1187,cubic.d,18
1178,has_star.star,18
1258,simps_cfg.rhs_md._default.equations._eqn_1,19
1303,tactic.simp_config.fail_if_unchanged._default.equations._eqn_1,19
1361,nat.ibelow,20
1407,linear_ordered_field.exists_pair_ne,21
1468,tactic.transparency.reducible.inj_arrow,22
1472,string_imp.rec_on,22
1512,expr.coord.elet_assignment.inj_arrow,22
1683,Prop.has_le.equations._eqn_1,24
1741,exists_eq',26
1755,strict_weak_order.equiv,26
1808,ulift.has_zero,27
1826,multiplicative.order_top,27
1848,list.sublist_cons_of_sublist,28
1935,lex.comm_group.equations._eqn_1,29
2046,lex.div_inv_monoid.equations._eqn_1,29
2105,implies.decidable._proof_3,30
2173,is_linear_order.to_is_total,31
2169,is_partial_order.to_is_preorder,31
2270,coe_sort_bool.equations._eqn_1,32
2260,environment.projection_info.cases_on,32
2236,lift,32
2417,has_subset.rec_on,33
2328,doc_category.tactic.inj_eq,33
2356,has_dvd.rec_on,33
2439,is_well_order.to_is_trans,34
2490,order_dual.inhabited.equations._eqn_1,35
2639,to_additive.value_type.rec_on,38
2644,trunc.lift._proof_1,39
2704,monad_except.throw,40
2773,has_pow.cases_on,42
2813,tactic.ring_exp.coeff.no_confusion_type,43
2884,has_seq_right.rec_on,45
2940,add_opposite.has_neg,47
3011,function.semiconj.id_right,49
3115,subsingleton.drec,52
3135,function.surjective.equations._eqn_1,53
3211,and.drec_on,54
3312,relation.refl_trans_gen.is_refl.equations._eqn_1,56
3346,has_monad_lift_to_has_coe,57
3370,is_order_connected.conn,58
3359,eq.drec,58
3453,functor.add_const.run.equations._eqn_1,60
3465,is_dec_eq.equations._eqn_1,60
3485,prod.lex.has_lt,61
3510,iff.symm,62
3534,id_bind.equations._eqn_1,62
3680,bin_tree.cases_on,67
3690,punit.default_eq_star,67
3942,psigma.skip_left.equations._eqn_1,73
4044,xor.decidable._match_2,78
4145,or_iff_left,82
4174,antisymm_of,83
4169,list.perm.swap',83
4216,subtype.coind.equations._eqn_1,84
4205,state_t.monad_map,84
4329,has_coe_t_aux.no_confusion_type,88
4335,commute.refl,89
4336,add_le_cancellable,89
4358,ssuperset.equations._eqn_1,89
4394,add_opposite.op_comp_unop,90
4525,subtype.is_empty_false,95
4516,eq.substr,95
4612,nat.discriminate,99
4697,psigma.no_confusion_type,104
4773,has_bind.no_confusion_type,107
4818,antisymm_of',109
4807,relation.refl_gen.drec,109
4802,set.maps_to,109
4829,psum.alt.sizeof._main,110
4904,add_opposite.rec.equations._eqn_1,113
4879,is_irrefl.swap,113
4931,fin.has_lt,116
5000,pos_num.of_znum'.equations._eqn_1,119
4985,enat.has_zero,119
5135,linear_ordered_add_comm_group_with_top.lt._default,125
5187,coe_to_lift.equations._eqn_1,127
5185,lift_base.equations._eqn_1,127
5175,coe_base_aux.equations._eqn_1,127
5228,ulift.has_neg.equations._eqn_1,129
5271,decidable.of_not_imp,132
5289,sub_mul_action.has_bot,133
5375,mul_opposite.is_empty.equations._eqn_1,137
5421,pi.one_apply,139
5436,set.separates_points,139
5505,order_dual.no_max_order,144
5578,sum.is_right.equations._eqn_1,147
5558,num.bit0._main.equations._eqn_1,147
5594,punit.add_comm_group._proof_3,149
5783,set.nonempty.equations._eqn_1,160
5811,add_action.surjective_vadd,161
5853,except.to_option.equations._eqn_1,163
5876,encodable.of_left_inverse._proof_1,165
5931,with_one.has_mul,168
5984,num.of_znum._main.equations._eqn_1,171
6099,option_t.monad_map.equations._eqn_1,178
6126,add_opposite.has_mul.equations._eqn_1,179
6153,psigma.fintype_prop_left._proof_1,181
6168,add_commute.semiconj_by,182
6197,monad_functor.no_confusion_type,184
6243,binder_info.inst_implicit.sizeof_spec,188
6235,exists_le_le,188
6271,set.nonempty_of_mem,191
6288,ring_equiv.inv_fun,192
6311,quiver.hom.unop,194
6386,set.eq_on.equations._eqn_1,198
6569,equiv_like.cases_on,213
6584,function.mem_support,215
6779,list.to_chunks_aux._match_1.equations._eqn_1,231
6802,fish.equations._eqn_1,233
6805,monad_io_net_system.listen,234
6998,linarith.ineq.max.equations._eqn_7,251
7111,monad_io_net_system.recv,260
7140,ordered_add_comm_group.lt._default.equations._eqn_1,262
7165,matrix.submatrix,266
7219,has_star.no_confusion,270
7229,matrix.to_blocks₂₁,270
7378,sum.lex.drec_on,286
7382,num.no_confusion,287
7398,bool.not_ff,289
7433,list.lex.drec_on,290
7474,is_star_normal.dcases_on,296
7610,well_founded_lt.fix,311
7707,is_add_regular.dcases_on,325
7834,has_well_founded.no_confusion,338
7973,sigma.map.equations._eqn_1,357
7974,with_bot.unbot'_bot,357
8009,directed.mono,364
8076,cubic.no_confusion,371
8218,has_monad_lift_t.mk.inj,391
8254,param_info.no_confusion,397
8351,relation.trans_gen.is_trans,412
8373,has_bind.no_confusion,415
8436,has_monad_lift.no_confusion,424
8441,subtype.map,425
8443,int.of_nat_eq_of_nat_iff,426
8444,category_theory.pi.sum_elim_category._main,426
8536,set.surj_on_image,438
8577,pi.int_apply,444
8645,fin.add_monoid_with_one,453
8644,star_semigroup.to_has_involutive_star,453
8791,eqv_gen.setoid.equations._eqn_1,476
8808,classical.some_spec2,477
8829,is_central_scalar.unop_smul_eq_smul,482
8879,list.range_core._sunfold,491
8894,list.drop,496
9015,tactic.interactive.rep_arity.sizeof,516
9020,has_nat_cast.has_sizeof_inst,517
9040,equiv.cast._proof_2,518
9069,set.range_factorization.equations._eqn_1,522
9098,one_mem_class.cases_on,526
9105,has_Inf.has_sizeof_inst,526
9261,nontrivial.to_nonempty.equations._eqn_1,550
9297,category_theory.category_struct.no_confusion_type,558
9368,iff_self_and,571
9394,list.ilast',574
9396,monad_except_adapter.has_sizeof_inst,574
9507,feature_search.predictor_cfg.mk.inj_eq,598
9626,tactic.dsimp_config.no_confusion,618
9729,list.update_nth,641
9840,linarith.comp.mk.inj_arrow,664
9863,set.mem_sUnion,670
9910,list.zip,680
9951,monad_functor.no_confusion,689
9959,cycle.chain._match_1,691
10078,int.cast_def,723
10082,order_dual.of_dual_to_dual,723
10084,list.lt,724
10235,list.traverse._main,769
10250,prod.lex.is_well_founded,777
10261,matrix.to_blocks₂₂.equations._eqn_1,779
10315,exists_exists_and_eq_and,791
10336,is_bot.to_dual,797
10341,fun_like.congr,798
10471,functor.comp.seq.equations._eqn_1,837
10548,option.iget_of_mem,860
10586,sigma.mk.inj_arrow,876
10637,smt_pre_config.mk.inj_eq,891
10655,option.pmap_none,896
10672,function.iterate_zero,902
10707,list.split_on,915
10713,has_distrib_neg.cases_on,918
10806,ematch_config.sizeof,947
10882,subsingleton_info.sizeof,977
10986,pi.eval_mul_hom_apply,1010
11194,encodable.encode_sum,1063
11222,has_smul.mk.sizeof_spec,1070
11236,rbnode.balance1.equations._eqn_4,1073
11296,con.rel_eq_coe,1089
11309,mul_hom.mk.inj,1093
11350,embedding_like.apply_eq_iff_eq,1108
11476,list.mem.equations._eqn_1,1169
11477,set.well_founded_on,1170
11538,list.permutations'_aux,1195
11598,list.reverse_core.equations._eqn_1,1222
11614,list.mem_nil_iff,1228
11630,int.div2._sunfold,1234
11641,list.mmap_with_index_aux._main,1239
11659,monad_io.mk.inj,1243
11758,alist.keys,1281
11781,has_le.le.dual,1289
11843,traversable.mk.inj_arrow,1316
12034,option.decidable_eq,1401
12077,option.get_some,1425
12112,subsemigroup.sizeof,1434
12166,subsemigroup.mul_mem',1455
12178,set.ball_insert_iff,1462
12246,add_semigroup.mk.inj,1496
12348,matrix.to_blocks_from_blocks₂₁,1529
12359,list.length._sunfold,1537
12406,equiv_like.no_confusion,1562
12408,option.sizeof.equations._eqn_2,1563
12546,fintype.decidable_eq_embedding_fintype._proof_1,1643
12644,io.proc.child.stdin.equations._eqn_1,1708
12647,rel_iso.of_surjective._proof_2,1710
12666,list.zip_with4.equations._eqn_2,1719
12735,prod.has_faithful_vadd_right,1756
12792,subsingleton_prod_self_equiv.equations._eqn_1,1795
12795,list.unzip._main.equations._eqn_1,1799
12810,with_bot.to_dual_symm_apply,1806
12820,expr.address.has_append.equations._eqn_1,1814
12831,equiv.Pi_comm_symm,1819
12869,list.reverse_core.equations._eqn_2,1835
12959,list.prod.equations._eqn_1,1873
12972,list.inth.equations._eqn_1,1881
13062,mul_action_hom.mk.inj_eq,1932
13136,denumerable.mk'._proof_1,1983
13181,list.ilast._main.equations._eqn_3,2005
13193,set.image.nonempty,2010
13207,lift_list.equations._eqn_1,2027
13327,list.mfirst.equations._eqn_2,2113
13337,mk_iff.list_option_merge._sunfold,2120
13425,add_con.symm,2178
13460,partial_order_of_SO._match_1.equations._eqn_3,2196
13477,npow_rec._sunfold,2207
13496,num.size,2224
13524,with_bot.order_bot.equations._eqn_1,2246
13566,pos_num.pred'.equations._eqn_3,2273
13615,list.zip_with3.equations._eqn_4,2316
13639,list.le_eq_not_gt,2338
13694,bnot_eq_ff_eq_eq_tt,2388
13701,add_equiv.to_add_monoid_hom._proof_1,2393
13763,list.mfoldl._main.equations._eqn_2,2423
13789,subsemigroup.has_bot._proof_1,2451
13797,list.mfoldr_cons,2454
13816,_nest_1_1._nest_1_1.tactic.tactic_script._mut_.base_0.inj,2472
13845,list.decidable_nthd_nil_ne,2490
13851,list.is_prefix_of.equations._eqn_4,2497
