idx,name
0,finsupp.has_int_scalar
91971,canonically_linear_ordered_semifield.nat_cast._default.equations._eqn_1
79613,is_integral.sum
5754,subring.to_submonoid._proof_2
15529,alternating_map.map_update_self
22328,subgroup.normal_comap
91595,subgroup.relindex_dvd_index_of_le
89804,ordered_cancel_comm_monoid.to_ordered_comm_monoid.equations._eqn_1
35341,function.injective.linear_ordered_comm_monoid_with_zero._proof_1
73823,list.mfoldl._sunfold
31806,set.Ioo_self
51577,set.is_simple_order_Ici_iff_is_coatom
9811,order_hom.fst._proof_1
15461,strong_induction._main._pack._wf_rec_mk_dec_tactic._aux_1
49458,vector.induction_on₂._proof_6
56225,subsemigroup.gi_map_comap._proof_1
46447,nat.decidable_ball_le._proof_1
15059,ideal.radical._proof_1
66519,linear_pmap.coprod._proof_2
60336,ulift.non_unital_comm_semiring._proof_12
20537,mv_polynomial.eval₂_comp_right
60231,well_ordering_rel.is_well_order.equations._eqn_1
69259,mul_equiv.to_additive.equations._eqn_1
21297,function.injective.generalized_boolean_algebra._proof_13
36554,distrib_mul_action_hom.to_linear_map._proof_1
41823,set.bijective_iff_bij_on_univ
88351,list.lex.decidable_rel.equations._eqn_3
94157,eq_zero_of_mul_eq_self_right
95898,ring.not_is_field_of_subsingleton
21774,set.Union_prod_const
18292,alg_equiv.Pi_congr_right._proof_5
2705,canonically_ordered_comm_semiring.mul_assoc
17215,cardinal.mk_range_eq_of_injective
1058,semigroup_with_zero.to_semigroup
74588,nat.pincer_recursion.equations._eqn_2
39962,dim_fin_fun
45512,list.is_lawful_monad.equations._eqn_1
43447,polynomial.erase_mem_lifts
95466,with_zero.map.equations._eqn_1
21474,linear_equiv.arrow_congr._proof_30
89096,add_semiconj_by.reflexive
14357,multiset.lattice._proof_6
9749,module.End.semiring._proof_13
85092,has_bind.seq
17401,finset.sup_le_of_le_directed
53842,ideal.zero_eq_bot
36883,mul_opposite.non_unital_ring._proof_11
4089,_private.444637879.add_le_add_iff_left'
65724,linear_equiv.symm_neg
60327,supr_Prop_eq
88076,add_subgroup.to_int_submodule.equations._eqn_1
76370,add_monoid_hom.op.equations._eqn_1
41667,string.has_lt'.equations._eqn_1
50874,nat.locally_finite_order.equations._eqn_1
732,list.filter_map._match_1
83183,lex.has_involutive_inv
13395,add_con.add_group._proof_1
91422,bdd_below.finite_of_bdd_above
30586,algebra.tensor_product.tensor_product.comm_ring._proof_13
55695,basis.equiv'._proof_7
7989,ordinal.partial_order._match_17
79878,cycle.inhabited.equations._eqn_1
13777,set.subset_inter
56574,is_lawful_applicative.rec_on
17102,linear_map.ext_iff
54579,tactic.itauto.prop.xor
8287,cardinal.comm_semiring._proof_5
80573,pi.of_lex_apply
38249,linarith.mul_nonpos
37894,finsupp.map_domain.add_monoid_hom_id
73862,monad_state_adapter.mk.inj
77268,matrix.semiring.is_scalar_tower
69658,multiplicative.division_comm_monoid._proof_5
45854,non_unital_ring_hom.coe_one
19459,adjoin_root.field._proof_23
70611,set.Ioo.no_min_order._match_1
37021,function.surjective.of_comp_iff
69063,antitone_on.dual_left
33477,is_coprime.neg_neg_iff
20132,prod.non_unital_ring._proof_15
41182,distrib_mul_action_hom.coe_one
76755,non_unital_ring_hom.to_opposite_to_fun
273,mul_one_class.one
34197,fintype.decidable_exists_fintype.equations._eqn_1
81421,ulift.group_with_zero.equations._eqn_1
40552,submonoid.to_add_submonoid._proof_6
32296,mul_equiv_class.cases_on
90557,matrix.det_from_blocks_zero₂₁
93361,sub_le_sub_flip
53200,list.permutations_aux_append
90303,pi.add_left_cancel_semigroup._proof_1
77035,finset.Ioo_subset_Icc_self
54718,tactic.dsimp_config.eta._default.equations._eqn_1
80413,commute.cast_int_left
56881,ulift.algebra._proof_4
96226,lcm_dvd_lcm_mul_left
43867,finsupp.single_apply_ne_zero
47117,prod.subtraction_comm_monoid._proof_8
89575,antitone.union
63756,category_theory.is_equivalence.inv_fun_map
77333,vector.insert_nth.equations._eqn_1
24893,lex.has_add.equations._eqn_1
51383,with_top.map_top
17648,set.preimage_mono
52856,alg_hom.restrict_scalars._proof_1
69462,seq_bind_eq
29237,submonoid.to_subsemigroup
75246,monoid_hom.compr₂.equations._eqn_1
63840,vm_obj_kind.constructor.inj_eq
14527,one_mul_eq_id
74359,list.is_prefix.filter_map
24994,compl_inj_iff
39325,znum.of_int'._main.equations._eqn_2
30904,function.injective.ordered_ring._proof_18
84646,order_iso.add_left_apply
22669,subgroup.coe_mk
47838,is_nonstrict_strict_order.mk.inj
20077,with_zero.int.has_pow._match_1
33800,cardinal.powerlt.equations._eqn_1
11439,subsemiring_class.to_non_assoc_semiring._proof_7
9509,nonempty.congr
26846,with_top.linear_ordered_add_comm_monoid_with_top
40971,function.injective.semifield._proof_1
87271,prod.add_comm_monoid.equations._eqn_1
38061,add_opposite.non_unital_comm_semiring._proof_6
96258,zero_sub_add_zero_sub_rev
14660,semiconj_by.function_semiconj_mul_left
5410,fin.div_nat
3047,module.to_mul_action_with_zero
65329,set.bijective_iff_bijective_of_Union_eq_univ
65753,set.preimage_mul_const_interval
93024,list.chain'.imp_head
79559,list.foldl_with_index_aux.equations._eqn_1
56025,submonoid.multiset_prod_mem
18906,punit.biheyting_algebra._proof_2
8102,is_trans.dcases_on
29451,subalgebra.coe_restrict_scalars
7177,valuation.has_coe_to_fun
45406,sym.repeat_left_injective
14082,equiv.sum_compl
9651,cardinal.aleph_0_mul_mk_eq
95071,one_half_pos
26079,add_subsemigroup.map
61966,add_subgroup.of_sub._proof_2
48898,add_submonoid.localization_map.eq_iff_eq
37276,cardinal.ord_one
81136,dfinsupp.basis.equations._eqn_1
49237,category_theory.reflects_isomorphisms_of_reflects_monomorphisms_of_reflects_epimorphisms.equations._eqn_1
97272,add_submonoid.left_neg_equiv_symm_from_left_neg
79823,pi.const_alg_hom.equations._eqn_1
7798,list.rotate'_length_mul
26199,multilinear_map.curry_left._proof_1
10751,add_con.complete_lattice._proof_17
21528,matrix.non_unital_non_assoc_semiring
83288,omega_complete_partial_order.has_sizeof_inst
77223,category_theory.split_epi.map_section_
77216,fin_two_arrow_equiv_apply
61846,wcovby_iff_covby_or_le_and_le
6318,set.Ici
92975,is_coprime.mul_right_iff
93259,complete_lattice.inf_continuous'
73769,ordered_add_comm_monoid.lt._default.equations._eqn_1
93836,nat.dvd_add_self_left
68472,list.sum_smul
13645,linear_independent.total_equiv.equations._eqn_1
81891,list.ilast.equations._eqn_4
41486,set.prod_subset_preimage_snd
12049,linear_map.smul_right._proof_2
7623,finsupp.single_mem_supported
35931,linear_ordered_add_comm_monoid.decidable_lt._default
91417,matrix.to_lin_of_inv.equations._eqn_1
46253,rel_iso.group._proof_5
86699,smt_pre_config.rec_on
25550,order_dual.ordered_cancel_comm_monoid._proof_7
96842,int.lt_of_add_lt_add_right
68502,set.add_monoid.equations._eqn_1
82732,tsub_tsub_tsub_cancel_right
52509,flag.mem_coe_iff
66198,prod.comm_ring._proof_16
8121,cardinal.lift
57646,prod.ordered_comm_group._proof_5
87171,polynomial.map_bit1
15315,alternating_map.has_sub._proof_2
82989,finsupp.equiv_fun_on_fintype_symm_coe
83230,additive.canonically_linear_ordered_add_monoid._proof_1
27642,is_fraction_ring.to_field._proof_62
34869,category_theory.fully_faithful_cancel_right._proof_1
