,name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
1,tactic.id_tag.simp,4185,439,1923,0,397,397,0
2,tactic.interactive.mono_cfg.unify._default,5089,634,2580,0,494,494,0
3,tactic.dsimp_config.proj._default,4995,489,2202,0,449,449,0
4,infer_instance,8282,695,4386,0,811,811,0
5,functor.const.mk,10306,952,5421,0,994,994,0
6,io.mode.read.inj,14870,1414,6748,0,1192,1192,0
7,environment.implicit_infer_kind.none.inj,13884,1399,5709,0,1083,1083,0
8,feature_search.predictor_type.mepo.inj,13884,1338,5700,0,1202,1202,0
10,punit.inhabited,37543,3779,17504,0,3137,3137,0
11,tactic.suggest.head_symbol_match.inhabited,40255,4119,18538,0,3272,3272,0
12,empty.rec_on,45340,4719,20070,0,3497,3497,0
13,vm_obj_kind.inhabited,49295,5263,21422,0,3893,3893,0
14,tactic.transparency.reducible.inj_arrow,30522,2980,12088,0,2343,2343,0
15,state,44990,6980,22491,0,4109,4109,0
16,tactic.simp_config.fail_if_unchanged._default.equations._eqn_1,51863,5193,23657,0,4060,4060,0
17,simps_cfg.rhs_md._default.equations._eqn_1,54575,7408,23404,0,4478,4478,0
18,expr.coord.elet_assignment.inj_arrow,33762,3675,18071,0,3194,3194,0
19,free_add_monoid.equations._eqn_1,69605,7983,33081,0,5960,5960,0
20,multiplicative.order_top,32626,4483,16696,0,3049,3049,0
21,linarith.linexp.equations._eqn_1,96528,11963,42897,0,7580,7580,0
22,strict_weak_order.equiv,78881,9998,32512,0,6089,6089,0
23,pos_num.has_one.equations._eqn_1,97583,13894,47205,0,7970,7970,0
24,implies.decidable._proof_3,51695,5790,20713,0,3961,3961,0
25,Prop.has_le.equations._eqn_1,113270,14399,47524,0,8507,8507,0
26,monoid.End,118154,28842,54527,0,11021,11021,0
27,has_star.star,139110,20956,66312,0,12181,12181,0
28,cubic.d,170309,26316,69089,0,13287,13287,0
29,nat.ibelow,157414,25673,66396,0,13007,13007,0
30,order_dual.inhabited.equations._eqn_1,91476,12467,36899,0,6968,6968,0
31,ulift.has_zero,189854,32660,75548,0,14824,14824,0
32,trunc.lift._proof_1,75511,9209,35658,0,6524,6524,0
33,has_dvd.rec_on,137279,19535,58222,0,11446,11446,0
34,has_subset.rec_on,137279,20979,63976,0,12403,12403,0
35,list.sublist_cons_of_sublist,192019,35239,83569,0,15880,15880,0
36,is_partial_order.to_is_preorder,203552,33694,86080,0,16894,16894,0
37,coe_sort_bool.equations._eqn_1,197968,45035,79398,0,15970,15970,0
38,has_monad_lift_to_has_coe,-1,-1,-1,-1,-1,-1,200
39,lift,206805,41451,89337,0,17193,17193,0
40,function.semiconj.id_right,72461,8635,34059,0,6308,6308,0
41,is_linear_order.to_is_total,212460,57957,95559,40,19546,19546,0
42,linear_ordered_ring.to_linear_order,-1,-1,-1,-1,-1,-1,200
43,prod.non_assoc_ring,-1,-1,-1,-1,-1,-1,200
44,doc_category.tactic.inj_eq,245366,46924,101366,0,19641,19641,0
45,has_pow.cases_on,208022,37792,81084,0,16209,16209,0
46,has_seq_right.rec_on,163771,28417,67279,0,13760,13760,0
47,add_opposite.has_neg,181421,30459,73328,0,14208,14208,0
48,is_well_order.to_is_trans,242179,57738,112073,0,21723,21723,0
49,functor.add_const.run.equations._eqn_1,66694,8194,32131,0,6104,6104,0
50,function.surjective.equations._eqn_1,159815,26548,71206,0,13649,13649,0
51,list.sorted_nil,215120,159964,98079,2,30381,30381,0
52,punit.default_eq_star,50701,5766,20291,0,3769,3769,0
54,id_bind.equations._eqn_1,72461,8006,33383,0,5994,5994,0
55,lean.special_version_desc.equations._eqn_1,249455,209858,102869,2,34787,34787,0
56,monad_except.throw,304871,84204,141841,0,28506,28506,0
57,relation.refl_trans_gen.is_refl.equations._eqn_1,234934,51227,97536,0,19133,19133,0
58,string_imp.rec_on,249127,203913,110839,2,34285,34285,0
59,subsingleton.drec,268366,59718,114826,0,23749,23749,0
60,is_dec_eq.equations._eqn_1,194588,41849,83571,0,17158,17158,0
61,Group,-1,-1,-1,-1,-1,-1,200
62,omega_complete_partial_order.continuous_hom.inhabited,-1,-1,-1,-1,-1,-1,200
63,add_opposite.op_comp_unop,64626,7498,26345,0,4826,4826,0
64,xor.decidable._match_2,191880,38782,93184,0,17276,17276,0
65,linear_ordered_ring.int_cast,-1,-1,-1,-1,-1,-1,200
67,linear_ordered_field.exists_pair_ne,-1,-1,-1,-1,-1,-1,200
68,lex.comm_group.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
69,subtype.coind.equations._eqn_1,229445,48276,87475,0,18290,18290,0
70,is_order_connected.conn,323815,95711,131755,0,30528,30528,0
71,and.drec_on,356680,106738,154282,5,32148,32148,0
73,iff.symm,265334,80643,124033,0,27856,27856,0
74,set.maps_to,63634,8401,26687,0,4875,4875,0
75,bin_tree.cases_on,331548,82426,133974,0,30317,30317,0
76,add_opposite.rec.equations._eqn_1,98039,13983,38673,0,7446,7446,0
77,psigma.skip_left.equations._eqn_1,297681,79542,124956,0,26882,26882,0
78,commute.refl,222553,49954,86278,0,18823,18823,0
79,tactic.ring_exp.coeff.no_confusion_type,-1,-1,-1,-1,-1,-1,200
80,ssuperset.equations._eqn_1,232626,49223,96187,0,18842,18842,0
81,enat.has_zero,81401,10639,33279,0,6201,6201,0
82,linear_ordered_add_comm_group_with_top.lt._default,73900,10106,39290,0,6558,6558,0
83,eq.drec,387417,145983,168313,42,37016,37016,0
84,or_iff_left,338164,113653,137483,0,31618,31618,0
85,smt_config.cc_cfg,343077,379925,147947,3,55935,55935,0
86,subtype.is_empty_false,291085,67665,122331,0,28124,28124,0
87,environment.projection_info.cases_on,332161,345841,147726,14,58324,58324,0
88,sum.is_right.equations._eqn_1,59673,8098,23052,0,4494,4494,0
89,antisymm_of,403029,143812,157804,0,39394,39394,0
90,num.bit0._main.equations._eqn_1,56703,7242,22516,0,4171,4171,0
91,has_coe_t_aux.no_confusion_type,427299,132778,165785,0,39677,39677,0
92,prod.lex.has_lt,415926,203866,167252,27,43746,43746,0
93,nat.discriminate,315835,86003,130512,0,28648,28648,0
94,mul_opposite.is_empty.equations._eqn_1,214069,39412,83065,0,16517,16517,0
95,set.nonempty.equations._eqn_1,102050,13727,39500,0,7479,7479,0
96,pi.one_apply,219656,41811,84214,0,17575,17575,0
97,num.of_znum._main.equations._eqn_1,56703,7938,22800,0,4396,4396,0
98,except.to_option.equations._eqn_1,87238,13756,35469,0,7066,7066,0
99,to_additive.value_type.rec_on,344503,400195,150354,3,57800,57800,0
100,add_commute.semiconj_by,34405,4027,15344,0,2928,2928,0
101,set.separates_points,224912,62771,87465,0,19950,19950,0
102,punit.add_comm_group._proof_3,171315,33816,70186,0,15200,15200,0
103,eq.substr,386308,158374,155033,0,38679,38679,0
104,environment.projection_info.is_class,329330,527431,145012,4,58735,58735,0
105,psigma.fintype_prop_left._proof_1,73399,7786,30336,0,5652,5652,0
106,binder_info.inst_implicit.sizeof_spec,64484,8202,24531,0,4711,4711,0
107,has_bind.no_confusion_type,408289,128524,160242,0,40227,40227,0
108,quiver.hom.unop,28719,3693,11581,0,2311,2311,0
109,decidable.of_not_imp,284817,86744,121893,0,27333,27333,0
110,is_irrefl.swap,387280,119515,154145,0,36366,36366,0
111,coe_base_aux.equations._eqn_1,329020,94464,135152,0,29257,29257,0
112,lift_base.equations._eqn_1,329020,101950,134096,0,29162,29162,0
113,coe_to_lift.equations._eqn_1,329020,106473,148007,0,31263,31263,0
114,linarith.ineq.max.equations._eqn_7,52591,6031,20939,0,4056,4056,0
115,add_le_cancellable,481856,202712,204135,0,48159,48159,0
116,set.nonempty_of_mem,133713,20187,57489,0,11161,11161,0
117,matrix.submatrix,75123,8798,30869,0,5980,5980,0
118,ulift.has_neg.equations._eqn_1,383291,132207,153343,0,35208,35208,0
119,list.lex.drec_on,-1,-1,-1,-1,-1,-1,200
120,set.eq_on.equations._eqn_1,154062,30847,64332,0,13440,13440,0
121,well_founded_lt.fix,-1,-1,-1,-1,-1,-1,200
122,ordered_add_comm_group.lt._default.equations._eqn_1,148248,22249,62056,0,12158,12158,0
123,add_opposite.has_mul.equations._eqn_1,282686,65364,118932,0,24644,24644,0
124,fin.has_lt,463111,212280,178862,0,50967,-1,0
126,psum.alt.sizeof._main,504060,232393,192835,0,51814,51814,0
127,matrix.to_blocks₂₁,159962,29010,65661,0,14044,14044,0
128,psigma.no_confusion_type,542548,227100,230651,0,57589,57589,0
129,state_t.monad_map,560934,342321,241722,1,66413,66413,0
130,list.to_chunks_aux._match_1.equations._eqn_1,272064,67247,117796,0,26647,26647,0
131,function.mem_support,308898,76889,127036,0,28008,28008,0
132,encodable.of_left_inverse._proof_1,452492,158004,174015,0,42130,42130,0
133,subtype.map,-1,-1,-1,-1,-1,-1,200
134,option_t.monad_map.equations._eqn_1,481623,212600,241612,0,66806,66806,0
135,with_one.has_mul,605573,245870,252431,0,66567,66567,0
136,set.surj_on_image,35226,3822,15742,0,2873,2873,0
137,pi.int_apply,257882,50787,96523,0,20686,20686,0
138,fish.equations._eqn_1,570647,315724,325746,2,70235,70235,0
139,exists_le_le,740173,550640,292580,0,89680,89680,0
140,relation.refl_gen.drec,857311,796648,342102,0,121324,121324,0
141,lex.non_unital_semiring,-1,-1,-1,-1,-1,-1,-1000
142,AddCommMon.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
143,sigma.map.equations._eqn_1,802628,509874,310896,0,97227,-1,0
144,fin.add_monoid_with_one,-1,-1,-1,-1,-1,-1,200
145,add_action.surjective_vadd,918207,870663,353841,0,129434,129434,0
146,has_nat_cast.has_sizeof_inst,175566,31596,71146,0,14469,14469,0
147,monad_functor.no_confusion_type,909047,1077945,353904,0,134640,134640,0
148,sub_mul_action.has_bot,-1,-1,-1,-1,-1,-1,-1000
149,order_dual.no_max_order,1070269,1279919,459247,0,-1,-1,-1000
150,has_star.no_confusion,1031637,1100219,391468,0,160333,-1,0
151,ring_equiv.inv_fun,-1,-1,-1,-1,-1,-1,-1000
152,equiv_like.cases_on,1018168,1464265,-1,-1,-1,-1,-1000
153,monad_io_net_system.listen,-1,-1,-1,-1,-1,-1,-1000
155,has_Inf.has_sizeof_inst,211171,58200,108420,0,21443,21443,1
156,monad_io_net_system.recv,-1,-1,-1,-1,-1,-1,-1000
157,int.of_nat_eq_of_nat_iff,1049519,947172,452603,0,156245,-1,0
158,sum.lex.drec_on,-1,-1,-1,-1,-1,-1,-1000
159,num.no_confusion,1091756,1140507,466634,0,-1,-1,-1000
160,bool.not_ff,1356773,1626588,-1,-1,-1,-1,-1000
161,is_star_normal.dcases_on,-1,-1,-1,-1,-1,-1,-1000
162,is_add_regular.dcases_on,-1,-1,-1,-1,-1,-1,-1000
163,has_well_founded.no_confusion,1257088,1728926,-1,-1,-1,-1,-1000
164,directed.mono,1287428,1773957,-1,-1,-1,-1,-1000
165,cubic.no_confusion,-1,-1,-1,-1,-1,-1,-1000
166,has_monad_lift_t.mk.inj,1136358,1747606,-1,-1,-1,-1,-1000
167,param_info.no_confusion,-1,-1,-1,-1,-1,-1,-1000
168,relation.trans_gen.is_trans,-1,-1,-1,-1,-1,-1,-1000
169,has_bind.no_confusion,-1,-1,-1,-1,-1,-1,-1000
170,order_dual.of_dual_to_dual,54638,6846,42193,0,7917,7917,0
171,has_monad_lift.no_confusion,1372828,1637468,-1,-1,-1,-1,-1000
172,set.mem_sUnion,224617,43924,88069,0,18211,18211,0
173,is_bot.to_dual,27139,5136,22962,0,4559,4559,0
174,set.range_factorization.equations._eqn_1,539368,317018,232798,0,83291,83291,0
175,matrix.to_blocks₂₂.equations._eqn_1,227291,58355,93964,0,19905,19905,0
176,category_theory.pi.sum_elim_category._main,-1,-1,-1,-1,-1,-1,-1000
177,monad_except_adapter.has_sizeof_inst,501376,212752,204623,0,48814,48814,0
178,option.pmap_none,93148,12582,40510,0,7565,7565,0
179,function.iterate_zero,66870,7170,31143,0,5514,5514,0
180,nontrivial.to_nonempty.equations._eqn_1,632864,374557,260569,0,71567,71567,0
181,int.cast_def,386260,213496,296146,0,64974,64974,0
182,star_semigroup.to_has_involutive_star,-1,-1,-1,-1,-1,-1,-1000
183,pi.eval_mul_hom_apply,92835,12371,40156,0,7413,7413,0
184,subsingleton_info.sizeof,89641,14218,38923,0,7201,7201,0
