name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
antisymm_of\',-1,-1,-1,-1,-1,-1,200
list.mmap\'_diag._main.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
list.pairwise.chain\',-1,-1,-1,-1,-1,-1,200
peirce\',40251,5091,16739,0,3177,3177,0
with_bot.unbot\'_bot,54638,6986,21238,0,4044,4044,0
pos_num.of_znum\'.equations._eqn_1,83594,10360,34750,0,6526,6526,0
exists_eq\',193587,35811,76983,0,15206,15206,0
list.pairwise_lt_range\',-1,-1,-1,-1,-1,-1,200
fin.of_nat\',-1,-1,-1,-1,-1,-1,200
list.range\'_sublist_right,-1,-1,-1,-1,-1,-1,200
list.perm.swap\',626471,293158,259570,0,70157,70157,0
group_with_zero.zpow_succ\',-1,-1,-1,-1,-1,-1,200
ring_hom.to_algebra\',-1,-1,-1,-1,-1,-1,200
linear_ordered_cancel_comm_monoid.npow_succ\',-1,-1,-1,-1,-1,-1,200
supr_mono\',-1,-1,-1,-1,-1,-1,200
basis.equiv\'._proof_6,-1,-1,-1,-1,-1,-1,200
conj_act.units_smul_comm_class\',-1,-1,-1,-1,-1,-1,200
div_mul_cancel\',-1,-1,-1,-1,-1,-1,200
add_submonoid.localization_map.mk\'_add_eq_mk\'_of_add,-1,-1,-1,-1,-1,-1,200
ring_equiv.of_hom_inv\'._proof_4,-1,-1,-1,-1,-1,-1,200
non_unital_ring.zsmul_zero\',-1,-1,-1,-1,-1,-1,200
non_assoc_semiring.nsmul_succ\',-1,-1,-1,-1,-1,-1,200
basis.equiv\'._proof_10,-1,-1,-1,-1,-1,-1,200
subalgebra.mul_mem\',-1,-1,-1,-1,-1,-1,200
linear_ordered_add_comm_group_with_top.nsmul_zero\',-1,-1,-1,-1,-1,-1,200
linear_ordered_comm_monoid.npow_zero\',-1,-1,-1,-1,-1,-1,200
top_symm_diff\',-1,-1,-1,-1,-1,-1,200
one_le_two\',-1,-1,-1,-1,-1,-1,-1000
subsemigroup.mul_mem\',-1,-1,-1,-1,-1,-1,-1000
list.permutations\'_aux,-1,-1,-1,-1,-1,-1,-1000
list.ilast\',-1,-1,-1,-1,-1,-1,-1000
denumerable.mk\'._proof_1,-1,-1,-1,-1,-1,-1,-1000
pos_num.pred\'.equations._eqn_3,-1,-1,-1,-1,-1,-1,-1000
add_monoid_hom.to_multiplicative\'\'._proof_3,-1,-1,-1,-1,-1,-1,-1000
