name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
div_le_div_flip,-1,-1,-1,-1,-1,-1,-1,-1238
SimpleGraph.edgeSet_fromEdgeSet,-1,-1,-1,-1,-1,-1,-1,-1235
Subalgebra.prod.proof_5,-1,-1,-1,-1,-1,-1,-1,-1238
LinearPMap.mk.sizeOf_spec,-1,-1,-1,-1,-1,-1,-1,-1238
ack_three,-1,-1,-1,-1,-1,-1,-1,-1235
Matrix.submatrix_sub,-1,-1,-1,-1,-1,-1,-1,-1235
Cycle.length_reverse,-1,-1,-1,-1,-1,-1,-1,-1235
Mathlib.Order.Directed._auxLemma.7,-1,-1,-1,-1,-1,-1,-1,-1235
Lean.Syntax.TSepArray.ofElems,-1,-1,-1,-1,-1,-1,-1,-1238
CategoryTheory.StrongEpiCategory.casesOn,-1,-1,-1,-1,-1,-1,-1,-1238
strictMono_toDual_comp_iff,-1,-1,-1,-1,-1,-1,-1,-1238
Lean.Compiler.LCNF.Arg.fvar.sizeOf_spec,-1,-1,-1,-1,-1,-1,-1,-1238
Finset.image_image₂_distrib_right,-1,-1,-1,-1,-1,-1,-1,-1235
Finset.exists_intermediate_set,-1,-1,-1,-1,-1,-1,-1,-1235
Lean.Meta.InferTypeCache,-1,-1,-1,-1,-1,-1,-1,-1238
Equiv.extendSubtype_apply_of_not_mem,-1,-1,-1,-1,-1,-1,-1,-1235
CategoryTheory.Limits.LimitBicone.noConfusionType,-1,-1,-1,-1,-1,-1,-1,-1238
Lean.Elab.Structural.instInhabitedEqnInfo,-1,-1,-1,-1,-1,-1,-1,-1238
Lean.Meta.visitLet.visit.match_1,-1,-1,-1,-1,-1,-1,-1,-1238
Finset.orderIsoOfFin.proof_3,-1,-1,-1,-1,-1,-1,-1,-1238
Mathlib.Algebra.Order.BigOperators.Group.Multiset._auxLemma.1,-1,-1,-1,-1,-1,-1,-1,-1235
Pi.posPart_def,-1,-1,-1,-1,-1,-1,-1,-1238
Mathlib.SetTheory.Game.PGame._auxLemma.15,-1,-1,-1,-1,-1,-1,-1,-1235
AlgEquiv.op.proof_5,-1,-1,-1,-1,-1,-1,-1,-1238
Lean.Elab.Info.ofTermInfo.inj,-1,-1,-1,-1,-1,-1,-1,-1238
CategoryTheory.Limits.kernelIsKernel.proof_2,-1,-1,-1,-1,-1,-1,-1,-1238
CategoryTheory.Presieve.natTransEquivCompatibleFamily.proof_5,-1,-1,-1,-1,-1,-1,-1,-1238
Fin.predAbove_left_monotone,-1,-1,-1,-1,-1,-1,-1,-1238
Lean.Lsp.FileEvent.recOn,-1,-1,-1,-1,-1,-1,-1,-1238
CategoryTheory.preadditiveCoyoneda.proof_2,-1,-1,-1,-1,-1,-1,-1,-1238
CategoryTheory.Limits.KernelFork.IsLimit.ofId.proof_3,-1,-1,-1,-1,-1,-1,-1,-1238
Mathlib.Tactic.useLoop.match_2,-1,-1,-1,-1,-1,-1,-1,-1238
CategoryTheory.Limits.Bicones.functoriality_obj_ι,-1,-1,-1,-1,-1,-1,-1,-1238
CoreM.withImportModules,-1,-1,-1,-1,-1,-1,-1,-1238
AddMonCat.FilteredColimits.colimitZero.eq_1,-1,-1,-1,-1,-1,-1,-1,-1238
Classical.epsilon_singleton,-1,-1,-1,-1,-1,-1,-1,-1235
CategoryTheory.Bicategory.comp_whiskerLeft_assoc,-1,-1,-1,-1,-1,-1,-1,-1238
SubgroupClass.toCommGroup.proof_1,-1,-1,-1,-1,-1,-1,-1,-1238
Matrix.cramer,-1,-1,-1,-1,-1,-1,-1,-1235
