name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
Stream\\'.WSeq.map_think,-1,-1,-1,-1,-1,-1,-1,-1235
List.nodup_permutations\\'Aux_of_not_mem,-1,-1,-1,-1,-1,-1,-1,-1235
CategoryTheory.Limits.Types.colimit_sound\\',-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.NatTrans.pi\\'_app,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.ShortComplex.leftRightHomologyComparison\\'_fac,-1,-1,-1,-1,-1,-1,-1,-1239
PFunctor.Approx.children\\',-1,-1,-1,-1,-1,-1,-1,-1234
CategoryTheory.Adhesive.van_kampen\\',-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Sigma.map\\'_eq,-1,-1,-1,-1,-1,-1,-1,-1239
ChainComplex.homology\\'ZeroIso.proof_7,-1,-1,-1,-1,-1,-1,-1,-1239
MonoidAlgebra.mul\\',-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.CosimplicialObject.δ_comp_δ\\'\\',-1,-1,-1,-1,-1,-1,-1,-1239
Ordinal.lift_id\\',-1,-1,-1,-1,-1,-1,-1,-1235
TypeVec.dropFun_RelLast\\',-1,-1,-1,-1,-1,-1,-1,-1234
Polynomial.cyclotomic\\'_two,-1,-1,-1,-1,-1,-1,-1,-1239
boundariesToCycles\\'NatTrans_app,-1,-1,-1,-1,-1,-1,-1,-1239
List.Perm.sum_eq\\',-1,-1,-1,-1,-1,-1,-1,-1239
AlgebraicGeometry.Scheme.OpenCover.gluedCoverT\\'.proof_5,-1,-1,-1,-1,-1,-1,-1,-1239
homology\\'ZeroZero.proof_5,-1,-1,-1,-1,-1,-1,-1,-1239
div_lt_div_left\\',-1,-1,-1,-1,-1,-1,-1,-1239
Finset.max\\'_subset,-1,-1,-1,-1,-1,-1,-1,-1239
ContDiffWithinAt.congr_of_eventually_eq\\',-1,-1,-1,-1,-1,-1,-1,-1239
List.exists_le_of_prod_le\\',-1,-1,-1,-1,-1,-1,-1,-1239
FinBddDistLat.of\\',-1,-1,-1,-1,-1,-1,-1,-1239
LieModule.isNilpotent_of_top_iff\\',-1,-1,-1,-1,-1,-1,-1,-1239
RatFunc.induction_on\\'.match_2,-1,-1,-1,-1,-1,-1,-1,-1239
MulAction.selfEquivSigmaOrbits\\',-1,-1,-1,-1,-1,-1,-1,-1239
Matrix.toLinearMapₛₗ₂\\'_symm,-1,-1,-1,-1,-1,-1,-1,-1239
Multiset.noncommProd_cons\\',-1,-1,-1,-1,-1,-1,-1,-1239
contMDiffOn_finset_sum\\',-1,-1,-1,-1,-1,-1,-1,-1239
