name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
nat.decidable_ball_le._proof_1,-1,-1,-1,-1,-1,-1,-1,1
list.mfoldl._sunfold,-1,-1,-1,-1,-1,-1,-1,-1236
set.bijective_iff_bij_on_univ,-1,-1,-1,-1,-1,-1,-1,-1235
set.Union_prod_const,-1,-1,-1,-1,-1,-1,-1,-1235
cardinal.mk_range_eq_of_injective,-1,-1,-1,-1,-1,-1,-1,-1235
mul_equiv.to_additive.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
nat.pincer_recursion.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1,1
strong_induction._main._pack._wf_rec_mk_dec_tactic._aux_1,-1,-1,-1,-1,-1,-1,-1,1
finsupp.has_int_scalar,-1,-1,-1,-1,-1,-1,-1,1
ideal.radical._proof_1,-1,-1,-1,-1,-1,-1,-1,1
mv_polynomial.eval₂_comp_right,-1,-1,-1,-1,-1,-1,-1,1
is_integral.sum,-1,-1,-1,-1,-1,-1,-1,1
multiset.lattice._proof_6,-1,-1,-1,-1,-1,-1,-1,1
polynomial.erase_mem_lifts,-1,-1,-1,-1,-1,-1,-1,1
subgroup.relindex_dvd_index_of_le,-1,-1,-1,-1,-1,-1,-1,1
dim_fin_fun,-1,-1,-1,-1,-1,-1,-1,1
finset.sup_le_of_le_directed,-1,-1,-1,-1,-1,-1,-1,1
well_ordering_rel.is_well_order.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
_private.444637879.add_le_add_iff_left\',-1,-1,-1,-1,-1,-1,-1,1
vector.induction_on₂._proof_6,106649,5342308411,10360551066,35289366588,1002,7044051008,315846813,0
add_monoid_hom.op.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
list.is_lawful_monad.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
has_bind.seq,297160,3864907012,30845369270,106118504047,504,21464931633,200375327,0
list.filter_map._match_1,224366,3784285792,26223954976,73582957548,936,16193212401,234378723,0
lex.has_involutive_inv,21669,4412395272,2577612013,7870843856,999,1763109707,415419828,0
order_hom.fst._proof_1,-1,-1,-1,-1,-1,-1,-1,1
eq_zero_of_mul_eq_self_right,-1,-1,-1,-1,-1,-1,-1,1
ulift.non_unital_comm_semiring._proof_12,-1,-1,-1,-1,-1,-1,-1,1
ring.not_is_field_of_subsingleton,-1,-1,-1,-1,-1,-1,-1,1
distrib_mul_action_hom.to_linear_map._proof_1,-1,-1,-1,-1,-1,-1,-1,1
bdd_below.finite_of_bdd_above,-1,-1,-1,-1,-1,-1,-1,1
subring.to_submonoid._proof_2,-1,-1,-1,-1,-1,-1,-1,1
ordinal.partial_order._match_17,-1,-1,-1,-1,-1,-1,-1,-1235
linear_pmap.coprod._proof_2,-1,-1,-1,-1,-1,-1,-1,1
mul_opposite.non_unital_ring._proof_11,-1,-1,-1,-1,-1,-1,-1,1
cardinal.comm_semiring._proof_5,-1,-1,-1,-1,-1,-1,-1,1
ordered_cancel_comm_monoid.to_ordered_comm_monoid.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
ideal.zero_eq_bot,-1,-1,-1,-1,-1,-1,-1,1
alternating_map.map_update_self,-1,-1,-1,-1,-1,-1,-1,1
string.has_lt\'.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
finsupp.map_domain.add_monoid_hom_id,-1,-1,-1,-1,-1,-1,-1,1
tactic.itauto.prop.xor,98989,3717558743,10121257019,32982775188,608,6645691105,472489064,0
canonically_linear_ordered_semifield.nat_cast._default.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
matrix.semiring.is_scalar_tower,-1,-1,-1,-1,-1,-1,-1,1
pi.of_lex_apply,82223,4039514246,8841717475,28817535005,788,5873584454,163986914,0
add_subgroup.to_int_submodule.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
canonically_ordered_comm_semiring.mul_assoc,-1,-1,-1,-1,-1,-1,-1,1
function.injective.generalized_boolean_algebra._proof_13,-1,-1,-1,-1,-1,-1,-1,1
nat.locally_finite_order.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
set.is_simple_order_Ici_iff_is_coatom,-1,-1,-1,-1,-1,-1,-1,1
function.injective.linear_ordered_comm_monoid_with_zero._proof_1,-1,-1,-1,-1,-1,-1,-1,1
