name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
nat.decidable_ball_le._proof_1,-1,-1,-1,-1,-1,-1,-1,1
cardinal.comm_semiring._proof_5,-1,-1,-1,-1,-1,-1,-1,-1235
_private.444637879.add_le_add_iff_left\\',-1,-1,-1,-1,-1,-1,-1,-1235
multiset.lattice._proof_6,-1,-1,-1,-1,-1,-1,-1,-1235
nat.pincer_recursion.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1,1
finset.sup_le_of_le_directed,-1,-1,-1,-1,-1,-1,-1,-1235
strong_induction._main._pack._wf_rec_mk_dec_tactic._aux_1,-1,-1,-1,-1,-1,-1,-1,-1235
finsupp.map_domain.add_monoid_hom_id,-1,-1,-1,-1,-1,-1,-1,-1235
mv_polynomial.eval₂_comp_right,-1,-1,-1,-1,-1,-1,-1,-1235
matrix.semiring.is_scalar_tower,-1,-1,-1,-1,-1,-1,-1,-1235
finsupp.has_int_scalar,-1,-1,-1,-1,-1,-1,-1,-1235
is_integral.sum,-1,-1,-1,-1,-1,-1,-1,-1235
bdd_below.finite_of_bdd_above,-1,-1,-1,-1,-1,-1,-1,-1235
ideal.radical._proof_1,-1,-1,-1,-1,-1,-1,-1,-1235
polynomial.erase_mem_lifts,-1,-1,-1,-1,-1,-1,-1,-1235
list.permutations_aux_append,-1,-1,-1,-1,-1,-1,-1,-1234
dim_fin_fun,-1,-1,-1,-1,-1,-1,-1,-1235
fintype.decidable_exists_fintype.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
subgroup.relindex_dvd_index_of_le,-1,-1,-1,-1,-1,-1,-1,-1235
adjoin_root.field._proof_23,-1,-1,-1,-1,-1,-1,-1,-1235
well_ordering_rel.is_well_order.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
finsupp.single_apply_ne_zero,-1,-1,-1,-1,-1,-1,-1,-1235
matrix.det_from_blocks_zero₂₁,-1,-1,-1,-1,-1,-1,-1,-1235
subgroup.normal_comap,-1,-1,-1,-1,-1,-1,-1,1
mul_opposite.non_unital_ring._proof_11,-1,-1,-1,-1,-1,-1,-1,1
string.has_lt\\'.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
canonically_linear_ordered_semifield.nat_cast._default.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
ordered_cancel_comm_monoid.to_ordered_comm_monoid.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
canonically_ordered_comm_semiring.mul_assoc,-1,-1,-1,-1,-1,-1,-1,1
function.injective.linear_ordered_comm_monoid_with_zero._proof_1,-1,-1,-1,-1,-1,-1,-1,1
ring.not_is_field_of_subsingleton,-1,-1,-1,-1,-1,-1,-1,1
order_hom.fst._proof_1,-1,-1,-1,-1,-1,-1,-1,1
list.is_prefix.filter_map,-1,-1,-1,-1,-1,-1,-1,1
alternating_map.map_update_self,-1,-1,-1,-1,-1,-1,-1,1
znum.of_int\\'._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1,1
nat.locally_finite_order.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
subring.to_submonoid._proof_2,-1,-1,-1,-1,-1,-1,-1,1
alg_equiv.Pi_congr_right._proof_5,-1,-1,-1,-1,-1,-1,-1,1
cardinal.powerlt.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
add_subgroup.to_int_submodule.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
ideal.zero_eq_bot,-1,-1,-1,-1,-1,-1,-1,1
supr_Prop_eq,-1,-1,-1,-1,-1,-1,-1,1
eq_zero_of_mul_eq_self_right,-1,-1,-1,-1,-1,-1,-1,1
linear_pmap.coprod._proof_2,-1,-1,-1,-1,-1,-1,-1,1
prod.add_comm_monoid.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
cycle.inhabited.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
distrib_mul_action_hom.to_linear_map._proof_1,-1,-1,-1,-1,-1,-1,-1,1
set.Ioo_self,-1,-1,-1,-1,-1,-1,-1,1
submonoid.multiset_prod_mem,-1,-1,-1,-1,-1,-1,-1,-1235
set.is_simple_order_Ici_iff_is_coatom,-1,-1,-1,-1,-1,-1,-1,1
sym.repeat_left_injective,-1,-1,-1,-1,-1,-1,-1,-1235
add_con.add_group._proof_1,-1,-1,-1,-1,-1,-1,-1,1
cardinal.aleph_0_mul_mk_eq,-1,-1,-1,-1,-1,-1,-1,-1235
basis.equiv\\'._proof_7,-1,-1,-1,-1,-1,-1,-1,1
set.subset_inter,-1,-1,-1,-1,-1,-1,-1,1
ulift.non_unital_comm_semiring._proof_12,-1,-1,-1,-1,-1,-1,-1,1
function.injective.generalized_boolean_algebra._proof_13,-1,-1,-1,-1,-1,-1,-1,1
dfinsupp.basis.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1235
cardinal.ord_one,-1,-1,-1,-1,-1,-1,-1,-1235
matrix.non_unital_non_assoc_semiring,-1,-1,-1,-1,-1,-1,-1,-1235
linear_equiv.arrow_congr._proof_30,-1,-1,-1,-1,-1,-1,-1,1
linear_equiv.symm_neg,-1,-1,-1,-1,-1,-1,-1,1
fin_two_arrow_equiv_apply,-1,-1,-1,-1,-1,-1,-1,-1234
linear_map.ext_iff,-1,-1,-1,-1,-1,-1,-1,1
algebra.tensor_product.tensor_product.comm_ring._proof_13,-1,-1,-1,-1,-1,-1,-1,1
module.End.semiring._proof_13,-1,-1,-1,-1,-1,-1,-1,1
