PROOF_SIZE,NUM_TERMS,CONTEXT_SIZE,NUM_LIFTS,NUM_INDS,NUM_PUB_TERMS,NUM_RULES,NUM_NNRS,NUM_NRS,NUM_AXIOMS
1,1,1,1,1,1,1,1,1,1,2498
10,1,1,1,1,1,1,1,1,1,17240
100,1,1,1,1,1,1,1,1,1,164660
1000,1,1,1,1,1,1,1,1,1,1638860
10000,1,1,1,1,1,1,1,1,1,timeout
1,10,1,1,1,1,1,1,1,1,2894
1,100,1,1,1,1,1,1,1,1,6854
1,1000,1,1,1,1,1,1,1,1,46454
1,10000,1,1,1,1,1,1,1,1,442454
1,1,10,1,1,1,1,1,1,1,3353
1,1,100,1,1,1,1,1,1,1,11903
1,1,1000,1,1,1,1,1,1,1,97403
1,1,10000,1,1,1,1,1,1,1,952403
1,1,1,10,1,1,1,1,1,1,5036
1,1,1,100,1,1,1,1,1,1,30416
1,1,1,1000,1,1,1,1,1,1,284216
1,1,1,10000,1,1,1,1,1,1,2822216
1,1,1,1,10,1,1,1,1,1,2858
1,1,1,1,100,1,1,1,1,1,6458
1,1,1,1,1000,1,1,1,1,1,42458
1,1,1,1,10000,1,1,1,1,1,402458
1,1,1,1,1,10,1,1,1,1,3686
1,1,1,1,1,100,1,1,1,1,15566
1,1,1,1,1,1000,1,1,1,1,134366
1,1,1,1,1,10000,1,1,1,1,1322366
1,1,1,1,1,1,10,1,1,1,3344
1,1,1,1,1,1,100,1,1,1,11804
1,1,1,1,1,1,1000,1,1,1,96404
1,1,1,1,1,1,10000,1,1,1,942404
1,1,1,1,1,1,1,10,1,1,3344
1,1,1,1,1,1,1,100,1,1,11804
1,1,1,1,1,1,1,1000,1,1,96404
1,1,1,1,1,1,1,10000,1,1,942404
1,1,1,1,1,1,1,1,10,1,3344
1,1,1,1,1,1,1,1,100,1,11804
1,1,1,1,1,1,1,1,1000,1,96404
1,1,1,1,1,1,1,1,10000,1,942404
1,1,1,1,1,1,1,1,1,10,2588
1,1,1,1,1,1,1,1,1,100,3488
1,1,1,1,1,1,1,1,1,1000,12488
1,1,1,1,1,1,1,1,1,10000,102488
10,10,10,10,10,10,10,10,10,10,25205
100,100,100,100,100,100,100,100,100,100,252275
10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,timeout
