name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
unit.star,4189,445,1903,0,393,393,0
unit,3133,397,1610,0,327,327,0
tactic.id_tag.rw,4189,437,1934,0,396,396,0
tactic.id_tag.rsimp,4189,511,1950,0,400,400,0
_private.754422749.tagged_proof.rsimp,4189,420,2166,0,416,416,0
out_param,6136,537,2502,0,472,472,0
tactic.id_tag.conv,4189,431,2189,0,412,412,0
trivial,3529,414,1478,0,310,310,0
_private.1165308017.tagged_proof.wf,4189,449,2182,0,416,416,0
tactic.id_tag.simp,4189,432,2249,0,406,406,0
well_founded_tactics.id_tag.wf,4189,460,1962,0,396,396,0
id_rhs,10000,904,4178,0,830,830,0
set,12875,1235,5228,0,1007,1007,0
thunk,13798,1316,5576,0,1066,1066,0
not,13201,1288,5276,0,1011,1011,0
id,10000,892,4148,0,836,836,0
tactic.dsimp_config.beta._default,4999,537,2215,0,441,441,0
expr.address,21776,2182,9097,0,1758,1758,0
tactic.simp_config.lift_eq._default,4999,498,2524,0,467,467,0
tactic.simp_config.canonize_instances._default,4999,487,2505,0,462,462,0
id_delta,10000,965,4194,0,838,838,0
tactic.dsimp_config.unfold_reducible._default,5093,559,2239,0,442,442,0
opt_param,9956,811,4155,0,816,816,0
tactic.apply_cfg.md._default,7805,818,3169,0,651,651,0
combinator.I,10000,950,4589,0,875,875,0
tactic.dsimp_config.single_pass._default,5093,598,2287,0,473,473,0
tactic.dsimp_config.iota._default,4999,553,2231,0,457,457,0
tactic.dsimp_config.md._default,7805,843,3195,0,649,649,0
tactic.simp_config.memoize._default,4999,537,2236,0,460,460,0
tactic.simp_config.proj._default,4999,527,2205,0,448,448,0
cc_config.ignore_instances._default,4999,492,2479,0,460,460,0
feature_search.feature_cfg.ignore_decidable._default,4999,490,2457,0,465,465,0
tactic.simp_config.beta._default,4999,485,2193,0,440,440,0
tactic.simp_config.use_axioms._default,4999,467,2217,0,435,435,0
bool.inhabited,53426,4380,17297,0,3396,3396,0
tactic.simp_intros_config.use_hyps._default,5093,594,2223,0,453,453,0
tactic.dsimp_config.eta._default,4999,507,2222,0,445,445,0
feature_search.feature_cfg.ignore_pi_domain._default,4999,528,2217,0,448,448,0
cc_config.ac._default,4999,520,2462,0,474,474,0
tactic.apply_cfg.auto_param._default,4999,602,2263,0,480,480,0
nat.inhabited,54306,5940,23251,0,4139,4139,0
tactic.apply_cfg.unify._default,4999,538,2227,0,457,457,0
punit.inhabited,52698,5791,20832,0,3924,3924,0
tactic.simp_config.canonize_proofs._default,5093,593,2272,0,460,460,0
prop.inhabited,51774,5511,20435,0,3838,3838,0
decidable.true,55528,6384,21994,0,4192,4192,0
feature_search.feature_cfg.ignore_type_args._default,4999,504,2458,0,461,461,0
tactic.rewrite_cfg.occs._default,14561,1696,6229,0,1191,1191,0
true.inhabited,52214,5560,22628,0,4023,4023,0
tactic.apply_cfg.approx._default,4999,508,2487,0,474,474,0
tactic.apply_cfg.instances._default,4999,398,1884,0,385,385,0
environment.implicit_infer_kind.inhabited,54506,5888,22798,0,4135,4135,0
tactic.apply_cfg.opt_param._default,4999,463,2197,0,433,433,0
tactic.rewrite_cfg.symm._default,5093,559,2221,0,443,443,0
nat.has_zero,54306,6787,21946,0,4356,4356,0
feature_search.feature_cfg.ignore_tc._default,4999,537,2212,0,458,458,0
io.process.spawn_args.stdin._default,5997,676,2556,0,507,507,0
io.process.spawn_args.stderr._default,5997,685,2563,0,505,505,0
tactic.delta_config.visit_instances._default,4999,566,2267,0,500,500,0
tactic.simp_config.contextual._default,5093,594,2480,0,483,483,0
tactic.simp_config.zeta._default,4999,511,2429,0,467,467,0
occurrences.inhabited,62366,7707,26815,0,4894,4894,0
nat.has_one,64843,7124,24533,0,4511,4511,0
infer_instance,10000,977,4229,0,837,837,0
tactic.simp_config.trace_lemmas._default,5093,609,2243,0,461,461,0
tactic.simp_config.iota_eqn._default,5093,582,2240,0,451,451,0
tactic.dsimp_config.canonize_instances._default,4999,507,2229,0,451,451,0
feature_search.feature_cfg.ignore_conns._default,4999,531,2237,0,454,454,0
nat.has_le,72296,8744,30859,0,5845,5845,0
tactic.simp_config.single_pass._default,5093,447,1880,0,382,382,0
tactic.dsimp_config.fail_if_unchanged._default,4999,547,2251,0,463,463,0
tactic.simp_config.iota._default,4999,528,2505,0,475,475,0
cc_config.em._default,4999,499,2553,0,466,466,0
tactic.dsimp_config.memoize._default,4999,492,2447,0,465,465,0
tactic.simp_config.constructor_eq._default,4999,494,2209,0,429,429,0
environment.intro_rule.infer._default,5997,651,2761,0,517,517,0
tactic.dsimp_config.zeta._default,4999,482,2178,0,435,435,0
tactic.simp_config.fail_if_unchanged._default,4999,593,2279,0,467,467,0
tactic.dsimp_config.proj._default,4999,529,2237,0,458,458,0
smt_pre_config.zeta._default,5093,591,2257,0,454,454,0
tactic.apply_cfg.new_goals._default,5997,700,2570,0,503,503,0
io.process.spawn_args.stdout._default,5997,738,2600,0,525,525,0
tactic.simp_config.eta._default,4999,524,2516,0,471,471,0
feature_search.predictor_cfg.type._default,5903,646,2812,0,520,520,0
string,48057,21539,21311,0,5835,5835,0
implies,17035,1551,7292,0,1326,1326,0
string.iterator,48189,23447,21847,0,6153,6153,0
not_false,6620,685,2732,0,563,563,0
smt.array,17035,1623,7440,0,1395,1395,0
nat.sizeof,9472,1069,4226,0,827,827,0
nat.sizeof._main,9472,895,4191,0,815,815,0
nat.sizeof._sunfold,9472,908,4188,0,824,824,0
id_tag,15415,1408,6662,0,1167,1167,0
empty_relation,13637,1275,6004,0,1076,1076,0
nat.le,45137,4515,18207,0,3280,3280,0
io,80758,21392,38982,0,8946,8946,0
false.elim,46036,5644,19111,0,3613,3613,0
false.cases_on,46036,4653,18534,0,3331,3331,0
tactic.tag,78664,39009,35153,0,10361,10361,0
false.rec_on,46036,5253,19113,0,3596,3596,0
tactic.id_tag.conv.equations._eqn_1,71099,6358,25414,0,4893,4893,0
well_founded_tactics.id_tag.wf.equations._eqn_1,71099,8149,30591,0,5622,5622,0
_private.1165308017.tagged_proof.wf.equations._eqn_1,71099,8035,30432,0,5620,5620,0
tactic.id_tag.simp.equations._eqn_1,71099,8099,30024,0,5609,5609,0
nat.lt,55524,6400,21728,0,4090,4090,0
tactic.id_tag.rsimp.equations._eqn_1,71099,7760,29896,0,5484,5484,0
_private.754422749.tagged_proof.rsimp.equations._eqn_1,71099,8465,30379,0,5709,5709,0
function.const,17837,1994,7804,0,1560,1560,0
tactic.id_tag.rw.equations._eqn_1,71099,7920,32799,0,5821,5821,0
implies.decidable._proof_1,17837,1667,7544,0,1453,1453,0
decidable.false,79634,9667,32947,0,6188,-1,101
feature_search.predictor_type.bayes.inj,22133,2226,9428,0,1746,1746,0
vm_decl_kind.cfun.inj,22133,2492,9694,0,1863,1863,0
vm_obj_kind.mpz.inj,31219,2671,10269,0,2018,2018,0
vm_decl_kind.bytecode.inj,22133,2278,9430,0,1803,1803,0
binder_info.strict_implicit.inj,23929,2455,10009,0,1847,1847,0
tactic.unfold_config.proj._default,24196,2966,10590,0,2011,2011,0
int.has_coe,106643,15604,45410,0,8265,8265,0
tactic.unfold_config.eta._default,24196,2914,10462,0,1965,1965,0
tactic.new_goals.all.inj,22133,2367,9502,0,1798,1798,0
expr.coord.lam_var_type.inj,27169,2725,10922,0,2046,2046,0
widget.mouse_event_kind.on_mouse_leave.inj,22133,2669,9725,0,1898,1898,0
feature_search.predictor_type.mepo.inj,22133,2178,10330,0,1847,1847,0
bool.ff.inj,21499,1682,7623,0,1473,1473,0
environment.implicit_infer_kind.none.inj,22133,2198,9353,0,1772,1772,0
nat.has_sizeof,63693,6783,25344,0,4393,4393,0
vm_obj_kind.format.inj,31219,3301,12266,0,2361,2361,0
ordering.lt.inj,22133,2365,9467,0,1805,1805,0
vm_obj_kind.simple.inj,31219,3370,12391,0,2416,2416,0
binder_info.aux_decl.inj,23929,2439,10046,0,1867,1867,0
congr_arg_kind.cast.inj,24739,2521,10186,0,1919,1919,0
tactic.transparency.instances.inj,23929,2607,10568,0,2029,2029,0
expr.coord.pi_var_type.inj,27169,2946,11199,0,2142,2142,0
tactic.transparency.reducible.inj,23929,2381,9897,0,1831,1831,0
reducibility_hints.abbrev.inj,27787,3120,11383,0,2135,2135,0
expr.coord.app_fn.inj,27169,2234,9120,0,1801,1801,0
vm_obj_kind.level.inj,31219,3190,12188,0,2304,2304,0
tactic.dunfold_config.to_dsimp_config,122477,19245,47254,0,9108,-1,101
tactic.unfold_proj_config.to_dsimp_config,122477,19249,47602,0,9046,-1,101
tactic.rewrite_cfg.md._default,21680,2461,9488,0,1799,1799,0
tactic.unfold_config.to_simp_config,121755,19984,47475,0,9008,-1,101
io.process.stdio.piped.inj,22133,2272,9509,0,1758,1758,0
vm_obj_kind.closure.inj,31219,3170,12187,0,2309,2309,0
nat.has_lt,113869,14876,43862,0,8112,8112,0
tactic.unfold_config.zeta._default,24196,2900,10467,0,1956,1956,0
format.color.cyan.inj,25549,2701,10570,0,2007,2007,0
vm_obj_kind.declaration.inj,31219,3338,12254,0,2334,2334,0
congr_arg_kind.fixed_no_param.inj,24739,2718,10858,0,1960,1960,0
tactic.new_goals.non_dep_only.inj,22133,2273,9478,0,1764,1764,0
io.process.stdio.null.inj,22133,2128,9387,0,1733,1733,0
io.process.stdio.inherit.inj,22133,2301,9444,0,1775,1775,0
tactic.unfold_config.canonize_instances._default,24196,2986,10594,0,2004,2004,0
vm_obj_kind.options.inj,31219,3392,12322,0,2373,2373,0
format.color.grey.inj,25549,2502,10475,0,1932,1932,0
tactic.transparency.all.inj,23929,2506,10078,0,1870,1870,0
vm_obj_kind.environment.inj,31219,3354,12318,0,2353,2353,0
vm_decl_kind.builtin.inj,22133,2125,9313,0,1736,1736,0
format.color.blue.inj,25549,2769,10703,0,2036,2036,0
congr_arg_kind.fixed.inj,24739,2568,10307,0,1909,1909,0
expr.address.equations._eqn_1,94192,15025,40214,0,7554,7554,0
vm_obj_kind.native_closure.inj,31219,3462,12254,0,2415,2415,0
tactic.dunfold_config.md._default,25200,2973,10839,0,2042,2042,0
vm_obj_kind.constructor.inj,31219,3119,12104,0,2299,2299,0
congr_arg_kind.heq.inj,24739,2591,10265,0,1926,1926,0
binder_info.inst_implicit.inj,23929,2432,10012,0,1887,1887,0
ematch_config.max_generation,112911,11665,35802,0,7075,-1,101
tactic.unfold_config.constructor_eq._default,24196,2786,10365,0,1926,1926,0
tactic.delta_config.max_steps,118578,20551,46624,0,9195,-1,101
std_gen.s1,113006,16770,44502,0,8697,-1,101
congr_arg_kind.eq.inj,24739,2588,10316,0,1903,1903,0
list.inhabited,92834,12109,37030,0,6912,6912,0
bool.tt.inj,21499,2485,10325,0,1881,1881,0
list.has_emptyc,92834,10982,36507,0,6736,6736,0
tactic.simp_intros_config.use_hyps,129392,18921,49267,0,9418,-1,101
subsingleton_info.is_subsingleton,112207,14491,43631,0,8319,-1,101
io.mode.write.inj,23119,2087,9626,0,1785,1785,0
binder_info.default.inj,23929,2484,10142,0,1890,1890,0
std_gen.s2,112911,14880,43567,0,8149,-1,101
occurrences.all.inj,30345,3441,12281,0,2338,2338,0
io.mode.read_write.inj,23119,1776,8085,0,1538,1538,0
tactic.new_goals.non_dep_first.inj,22133,2122,9380,0,1726,1726,0
environment.implicit_infer_kind.implicit.inj,22133,2496,9609,0,1840,1840,0
expr.coord.lam_body.inj,27169,2785,10990,0,2078,2078,0
expr.coord.pi_body.inj,27169,2953,11046,0,2084,2084,0
expr.coord.elet_assignment.inj,27169,2913,10919,0,2148,2148,0
vm_obj_kind.other.inj,31219,3411,12258,0,2354,2354,0
reducibility_hints.opaque.inj,27787,2963,11287,0,2103,2103,0
combinator.K,17837,1226,6235,0,1285,1285,0
vm_obj_kind.tactic_state.inj,31219,3761,13092,0,2741,2741,0
tactic.interactive.case_tag.match_result.exact_match.inj,22133,1986,9343,0,1739,1739,0
feature_search.predictor_type.knn.inj,22133,2287,9521,0,1803,1803,0
widget.mouse_event_kind.on_mouse_enter.inj,22133,2091,9395,0,1757,1757,0
io.mode.append.inj,23119,2283,9660,0,1784,1784,0
tactic.transparency.none.inj,23929,2666,10163,0,1966,1966,0
format.color.red.inj,25549,2636,10535,0,1952,1952,0
io.mode.read.inj,23119,2405,9754,0,1837,1837,0
tactic.interactive.case_tag.match_result.no_match.inj,22133,1728,7840,0,1507,1507,0
expr.coord.app_arg.inj,27169,2925,11055,0,2130,2130,0
expr.coord.elet_var_type.inj,27169,2737,10945,0,2069,2069,0
tactic.interactive.case_tag.match_result.fuzzy_match.inj,22133,2047,9327,0,1717,1717,0
non_contradictory,19896,1968,8375,0,1606,1606,0
format.color.green.inj,25549,2470,10413,0,1916,1916,0
feature_search.predictor_cfg.type,121132,18786,46469,0,8937,-1,101
tactic.transparency.semireducible.inj,23929,2440,10043,0,1856,1856,0
tactic.unfold_proj_config.md._default,25200,2248,8934,0,1743,1743,0
widget.mouse_event_kind.on_click.inj,22133,2105,9345,0,1738,1738,0
congr_arg_kind.subsingleton_inst.inj,24739,2266,10147,0,1861,1861,0
option.inhabited,92130,11645,36990,0,6897,6897,0
vm_obj_kind.name.inj,31219,3476,12356,0,2382,2382,0
ordering.eq.inj,22133,2085,9342,0,1719,1719,0
ematch_config.max_instances,113006,18837,44752,0,8706,-1,101
lean.special_version_desc,214254,153594,90281,2,28032,28032,0
binder_info.implicit.inj,23929,1822,8339,0,1573,1573,0
pos.line,113006,15204,43708,0,8234,-1,101
expr.coord.elet_body.inj,27169,2951,10989,0,2096,2096,0
nat.zero.inj,22379,2174,9450,0,1736,1736,0
environment.implicit_infer_kind.relaxed_implicit.inj,22133,2026,9381,0,1715,1715,0
tactic.delta_config.visit_instances,116844,15603,44721,0,8377,-1,101
reader,45614,5080,18541,0,3406,3406,0
ordering.gt.inj,22133,2277,9499,0,1763,1763,0
format.color.pink.inj,25549,2699,10568,0,1994,1994,0
vm_obj_kind.expr.inj,31219,3172,12273,0,2321,2321,0
format.color.orange.inj,25549,2430,10440,0,1894,1894,0
set_of,14370,1349,5628,0,1070,1070,0
subsingleton_info.specialized,112302,15594,43322,0,8261,-1,101
feature_search.predictor_cfg.to_feature_cfg,122866,16916,46495,0,8776,-1,101
decidable_pred,51186,5244,20144,0,3790,3790,0
string.empty,214254,193793,91786,2,28913,28913,0
empty.rec_on,63923,7009,24293,0,4501,4501,0
rfl,76398,9020,31770,0,5905,5905,0
pos.column,112911,11638,36030,0,6973,-1,101
_private.2042382769.V,84390,10318,34538,0,6336,6336,0
tactic.simp_intros_config.to_simp_config,131126,20868,57138,0,11079,-1,101
string.has_to_string,233421,192712,97100,2,32476,32476,0
_private.3043571171.U,84528,10812,34759,0,6464,6464,0
not.intro,14546,1368,5676,0,1077,1077,0
list.as_string,201039,185778,86353,2,27635,27635,0
io.process.spawn_args.args._default,197055,175837,86640,2,27233,27233,0
string.iterator.equations._eqn_1,242919,186481,99246,2,31486,31486,0
io.process.spawn_args.cwd._default,200099,191482,86843,2,29110,29110,0
true.cases_on,75307,8650,31386,0,5914,5914,0
true.rec_on,75307,8681,31496,0,5874,5874,0
list.ret,101496,13526,40124,0,7629,7629,0
empty.cases_on,63923,6989,24344,0,4564,4564,0
string.equations._eqn_1,242391,199699,99422,2,31143,31143,0
state,58656,6584,22661,0,4241,4241,0
unification_hint.pattern,125494,16831,47202,0,8961,-1,101
coe_sort_bool,165371,24052,66989,0,12710,-1,101
coe_bool_to_Prop,155337,22290,63544,0,12044,12044,0
tactic.rewrite_cfg.symm,159818,26031,65927,0,12886,-1,101
unification_constraint.α,136330,20783,58146,0,11290,-1,101
tactic.rewrite_cfg.occs,159723,26542,66564,0,13125,-1,101
tactic.rewrite_cfg.to_apply_cfg,161552,22073,56344,0,11490,-1,101
string.inhabited,256308,222159,119621,2,35420,35420,0
heq.rfl,85164,10348,34954,0,6455,6455,0
reflexive,51088,5143,20203,0,3741,3741,0
iff.refl,138108,21952,59351,0,11448,11448,0
trace_call_stack,29109,2725,11271,0,2078,2078,0
classical.inhabited_of_nonempty,94063,11439,37392,0,6826,6826,0
except.return,106594,10719,34339,0,6519,6519,0
or.intro_right,104350,13622,41269,0,7791,7791,0
auto_param,248878,363477,106137,3,43775,43775,0
name.inhabited,289320,340097,131656,2,49154,49154,0
feature_search.feature_cfg.ignore_decidable,159119,25304,65784,0,12878,-1,101
set.univ,10451,949,4409,0,856,856,0
feature_search.feature_cfg.ignore_pi_domain,159309,25496,65844,0,12620,-1,101
feature_search.feature_cfg.ignore_type_args,159214,27493,66013,0,12903,-1,101
feature_search.feature_cfg.ignore_tc,159404,23939,65270,0,12847,-1,101
unification_hint.constraints,143109,20463,60034,0,11577,-1,101
or.intro_left,101166,15190,40308,0,7565,7565,0
mk_str_name,279031,340683,128406,3,47588,47588,0
structure_instance_info.struct._default,265335,339842,123613,2,46336,46336,0
ne,86820,10569,35209,0,6481,6481,0
false.dcases_on,91877,11820,36977,0,6794,6794,0
iff.rfl,138108,19471,58616,0,11113,11113,0
feature_search.feature_cfg.ignore_conns,159024,30789,66022,0,13055,-1,101
iff_true_intro,157894,24605,65154,0,12655,12655,0
false.drec_on,91877,11407,37026,0,6770,6770,0
coe_option,158681,23853,65127,0,12482,12482,0
mk_simple_name,275393,277994,126520,2,45966,45966,0
fun_info.result_deps,157069,27690,65478,0,12867,-1,101
true_eq_false_of_false,109110,15831,42905,0,8139,8139,0
false.drec,91877,10850,36550,0,6701,6701,0
fun_info.params,160442,25493,65800,0,12893,-1,101
rsimp.config.max_rounds,350298,387458,151162,2,55748,-1,101
decidable_rel,76369,9258,32185,0,6041,6041,0
name.anonymous.inj,256865,369997,123344,3,46548,46548,0
