name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
io.process.stdio.piped.inj,-1,-1,-1,-1,-1,-1,200
tactic.id_tag.rw,4185,618,1904,0,391,391,0
tactic.simp_config.beta._default,4995,1332,2218,0,448,448,0
tactic.simp_config.iota_eqn._default,5089,1001,2264,0,462,462,0
tactic.dsimp_config.canonize_instances._default,4995,899,2208,0,455,455,0
_private.1165308017.tagged_proof.wf,4185,652,1946,0,397,397,0
tactic.simp_config.memoize._default,4995,813,2214,0,445,445,0
tactic.dsimp_config.eta._default,4995,728,2209,0,449,449,0
tactic.delta_config.visit_instances._default,4995,804,2241,0,457,457,0
nat.sizeof,9418,1126,4180,0,797,797,0
not,13047,1996,5264,0,1004,1004,0
implies,15217,2041,5875,0,1069,1069,0
tactic.interactive.case_tag.match_result.no_match.inj,13884,1842,5702,0,1106,1106,0
bool.tt.inj,13250,1560,5489,0,1069,1069,0
tactic.interactive.case_tag.match_result.exact_match.inj,13884,1528,5717,0,1075,1075,0
tactic.interactive.case_tag.match_result.fuzzy_match.inj,13884,1579,5646,0,1075,1075,0
tactic.rewrite_cfg.occs._default,14557,1823,6303,0,1192,1192,0
nat.zero.inj,14130,2060,6022,0,1232,1232,0
set_of,9374,900,4061,0,805,805,0
expr.coord.app_fn.inj,18920,2015,8378,0,1606,1606,0
congr_arg_kind.fixed.inj,16490,2157,7565,0,1581,1581,0
not.intro,9550,915,4157,0,820,820,0
vm_obj_kind.declaration.inj,22970,2578,9759,0,1877,1877,0
tactic.rewrite_cfg.md._default,21626,2574,9569,0,1843,1843,0
vm_obj_kind.name.inj,22970,3464,10094,0,2128,2128,0
congr_arg_kind.fixed_no_param.inj,16490,1675,7562,0,1408,1408,0
occurrences.all.inj,22096,2269,9572,0,1782,1782,0
vm_obj_kind.expr.inj,22970,2574,9928,0,1899,1899,0
nat.le,34924,3733,15020,0,2876,2876,0
nat.inhabited,39151,4212,16540,0,3028,3028,0
tactic.id_tag.rsimp.equations._eqn_1,50877,5451,20037,0,3768,3768,0
list.nil.inj,17467,1775,7886,0,1565,1565,0
_private.754422749.tagged_proof.rsimp.equations._eqn_1,50877,5585,20280,0,3823,3823,0
decidable.false,64154,7224,24137,0,4497,4497,0
empty.rec_on,45340,4635,18386,0,3324,3324,0
true.cases_on,53321,5535,20928,0,3823,3823,0
irreflexive,42848,4313,17397,0,3137,3137,0
expr.address.equations._eqn_1,73820,8512,31788,0,6066,6066,0
heq.rfl,61514,6962,23626,0,4512,4512,0
_private.2042382769.V,67121,7395,28973,0,5280,5280,0
set.has_emptyc,50879,5374,20121,0,3760,3760,0
infer_instance.equations._eqn_1,54462,7312,21352,0,4460,4460,0
feature_search.predictor_cfg.to_feature_cfg,87493,11141,35868,0,6602,6602,0
tactic.simp_config.lift_eq._default.equations._eqn_1,51863,5088,20183,0,3732,3732,0
tactic.apply_cfg.instances._default.equations._eqn_1,51863,5628,20503,0,3934,3934,0
feature_search.predictor_cfg.type._default.equations._eqn_1,52591,5844,21058,0,3979,3979,0
feature_search.feature_cfg.ignore_decidable._default.equations._eqn_1,51863,5486,20580,0,3899,3899,0
io.process.spawn_args.cmd,-1,-1,-1,-1,-1,-1,200
tactic.simp_intros_config.to_simp_config,95753,12806,38446,0,7215,7215,0
tactic.simp_config.use_axioms._default.equations._eqn_1,51863,5350,20470,0,3843,3843,0
tactic.simp_config.contextual._default.equations._eqn_1,51957,5430,20487,0,3820,3820,0
tactic.simp_config.iota._default.equations._eqn_1,51863,5524,20741,0,3937,3937,0
total,77029,8584,31772,0,5971,5971,0
io.process.stdio.null.inj_arrow,-1,-1,-1,-1,-1,-1,200
list.last._main._proof_1,83447,9589,33991,0,6352,6352,0
tactic.apply_cfg.approx._default.equations._eqn_1,51863,5470,20697,0,3831,3831,0
cc_config.em._default.equations._eqn_1,51863,5340,20491,0,3806,3806,0
feature_search.feature_cfg.ignore_conns,103733,13057,40276,0,7517,7517,0
tactic.simp_intros_config.use_hyps._default.equations._eqn_1,51957,5504,20710,0,3899,3899,0
fun_info.result_deps,106795,13705,42103,0,7805,7805,0
tactic.interactive.case_tag.match_result.fuzzy_match.inj_arrow,28726,2673,11430,0,2112,2112,0
function.comp,40211,4123,16615,0,3122,3122,0
tactic.dsimp_config.proj._default.equations._eqn_1,51863,5409,20633,0,4168,4168,0
widget.mouse_event_kind.on_mouse_enter.inj_arrow,28726,2874,11629,0,2176,2176,0
congr_arg_kind.fixed.inj_arrow,31332,3137,12404,0,2332,2332,0
vm_obj_kind.format.inj_arrow,37812,3942,16191,0,3044,3044,0
std_gen.cases_on,-1,-1,-1,-1,-1,-1,200
tactic.new_goals.all.inj_arrow,28726,2746,11578,0,2186,2186,0
congr_arg_kind.heq.inj_arrow,31332,3143,12383,0,2271,2271,0
vm_obj_kind.simple.inj_arrow,37812,3909,16126,0,3016,3016,0
bool.sizeof._main,21849,2129,9180,0,1718,1718,0
environment.implicit_infer_kind.relaxed_implicit.inj_arrow,28726,2744,11472,0,2143,2143,0
punit.sizeof._main,21309,1969,8981,0,1664,1664,0
format.color.orange.inj_arrow,32142,3298,14517,0,2679,2679,0
int.has_one,63005,7214,24251,0,4587,4587,0
ulift.down,126517,25244,49280,0,10279,10279,0
has_inv.inv,139110,18858,58648,0,10939,10939,0
function.comp_right,50920,5189,19955,0,3740,3740,0
function.comp_left,50445,5404,19843,0,3803,3803,0
combinator.S,49907,5055,19565,0,3743,3743,0
and.right,130063,17173,48973,0,9016,9016,0
has_neg.neg,139110,23750,59665,0,12838,12838,0
tactic.unfold_proj_config.cases_on,94681,12826,38899,0,7204,7204,0
true.dcases_on,106107,14093,41995,0,7783,7783,0
monad_io_terminal.cmdline_args,-1,-1,-1,-1,-1,-1,200
bool.has_sizeof,58048,6277,22587,0,4252,4252,0
anti_symmetric,121722,16367,46409,0,8683,8683,0
subsingleton_info.cases_on,84035,9871,34289,0,6392,6392,0
tactic.simp_intros_config.cases_on,99211,14783,40114,0,7594,7594,0
unification_hint.rec_on,91235,11404,37095,0,6896,6896,0
int.has_coe.equations._eqn_1,141108,27001,60131,0,12557,12557,0
widget.mouse_event_kind.cases_on,115966,15287,44384,0,8460,8460,0
has_sdiff.sdiff,152658,25827,64118,0,12556,12556,0
