name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
nat.le,-1,-1,-1,-1,-1,-1,-1,-1234
name.anonymous.inj,-1,-1,-1,-1,-1,-1,-1,-1234
tactic.dsimp_config.eta._default,3789,563244097,458570131,1363670204,630,329221894,82865877,0
interactive.loc.wildcard.inj,-1,-1,-1,-1,-1,-1,-1,-1234
nat.sizeof,7871,568778341,774180457,2695696798,987,622259133,108354014,0
_private.1165308017.tagged_proof.wf,3201,725038598,872134346,2448897803,625,640128104,149129884,0
tactic.id_tag.rw,3201,1075875042,769451162,2356905570,1138,587014692,118560913,0
tactic.simp_config.memoize._default,3789,591684191,1044070628,2745730872,617,839711274,202606332,0
mk_simple_name,-1,-1,-1,-1,-1,-1,-1,-1234
tactic.dsimp_config.canonize_instances._default,3789,826073151,984546501,2714699635,718,640787440,153694716,0
tactic.delta_config.visit_instances._default,3789,943074929,936255261,2636584122,706,817884134,265587069,0
tactic.simp_config.beta._default,3789,911424994,996769731,2725602494,400,701512908,288571565,0
tactic.simp_config.iota_eqn._default,3958,907392795,1367227317,3272293826,392,834059578,221387611,0
tactic.interactive.case_tag.match_result.no_match.inj,11840,859116865,1090847493,4131958624,794,928463078,213218336,0
tactic.interactive.case_tag.match_result.exact_match.inj,11840,878615377,1163900023,4193276163,720,942195061,217063253,0
io.process.stdio.piped.inj,11840,882129776,1172223753,4218735364,669,957851258,214532937,0
tactic.interactive.case_tag.match_result.fuzzy_match.inj,11840,1153657919,1182927101,4210622579,719,930988650,212973427,0
tactic.rewrite_cfg.occs._default,11926,1228845442,1246059613,4283306791,747,998210142,305605207,0
bool.tt.inj,11343,1275560556,1197465415,5061591545,1044,1026784362,199595869,0
smt_pre_config.simp_attr,-1,-1,-1,-1,-1,-1,-1,-1234
environment.projection_info.is_class,-1,-1,-1,-1,-1,-1,-1,-1234
expr.coord.app_fn.inj,16166,858202221,1375531477,6266292321,720,1295533819,329966717,0
implies,13663,668291183,2026492193,7285497465,665,1022224402,31168230,0
smt_config.cc_cfg._default,-1,-1,-1,-1,-1,-1,-1,-1234
trace,-1,-1,-1,-1,-1,-1,-1,-1234
nat.zero.inj,12093,1211150039,1992701179,6665068099,708,990330822,230146529,0
tactic.rewrite_cfg.md._default,18475,1057517115,1784692784,6949906301,419,1575019558,396539407,0
vm_obj_kind.declaration.inj,20031,881123054,1744960622,7364543450,800,1615012581,433548162,0
not,11760,676683779,1678168417,8128013577,830,1642657412,98304775,0
not.intro,8429,569058178,774644416,3227610559,615,713601379,51065555,0
occurrences.all.inj,18842,1152048314,1548829254,6863102958,847,1396002916,403030376,0
congr_arg_kind.fixed_no_param.inj,14015,888793492,1358750854,4830073576,606,1057378877,276224276,0
congr_arg_kind.fixed.inj,14015,1066191807,2360193055,9685149128,1003,1935002345,571985078,0
set_of,8279,512266350,1262070987,6341089210,943,1399491299,163477888,0
vm_obj_kind.expr.inj,20031,1144593756,1860439992,7389172050,466,1641547814,432337022,0
nat.inhabited,36220,714640322,2926910774,13132140294,1035,2668803245,177757180,0
list.nil.inj,14942,852374942,1213872519,4997520415,895,1055733559,252012895,0
vm_obj_kind.name.inj,20031,1233657908,2770847092,15006366587,439,3193585200,878042771,0
_private.754422749.tagged_proof.rsimp.equations._eqn_1,47175,711256496,3809896041,15958394545,680,3245569173,153751227,0
tactic.id_tag.rsimp.equations._eqn_1,47175,859319704,4994421042,16046439737,735,3517325881,153965916,0
decidable.false,60249,728405786,4813024946,19517892666,856,3990396260,187968752,0
irreflexive,39604,803896687,3326598653,17872078919,1297,5185954385,154877521,0
infer_instance.equations._eqn_1,51322,562284429,4305019198,17311647867,740,3433299771,107383360,0
tactic.simp_config.lift_eq._default.equations._eqn_1,48476,899701857,3912958350,16462007019,928,3316026349,176490975,0
feature_search.predictor_cfg.type._default.equations._eqn_1,49834,714762742,4187609879,16749511053,497,3379245671,196395467,0
feature_search.feature_cfg.ignore_decidable._default.equations._eqn_1,48476,719609997,4001517471,16468410716,766,3394095333,177394497,0
tactic.simp_config.use_axioms._default.equations._eqn_1,48476,692292051,3653383781,16257355158,580,3236144974,175911321,0
io.process.spawn_args.cmd,-1,-1,-1,-1,-1,-1,-1,-1234
expr.address.equations._eqn_1,71573,1397024235,8183187678,26876137508,1405,5858837797,429671514,0
tactic.simp_config.iota._default.equations._eqn_1,48476,741736929,4134907216,16608778351,582,3324956318,178613232,0
set.has_emptyc,47858,728896512,3862802565,21335248641,393,5234302278,129730755,0
feature_search.predictor_cfg.to_feature_cfg,83928,1208044596,8507955154,29858350812,952,6138475892,308880325,0
cc_config.em._default.equations._eqn_1,48476,724841911,3832863782,16314141266,731,3288213147,175536824,0
tactic.apply_cfg.approx._default.equations._eqn_1,48476,909159345,4540276307,16339287307,445,3471286280,175981552,0
tactic.simp_intros_config.use_hyps._default.equations._eqn_1,48543,699538834,3714299198,16238275345,491,3225155914,178011918,0
tactic.simp_intros_config.to_simp_config,90994,1076072088,8686542640,31322063633,678,6287762443,499593992,0
empty.rec_on,42374,812896470,6078764870,27143215417,1052,5659749860,103215748,0
function.comp,36577,538090448,3039657127,13227404286,657,2651715110,66783422,0
total,73062,546755611,5685564239,26285017144,772,5136281139,59988158,0
_private.2042382769.V,65462,1289718129,8135814376,29885028628,616,7415139923,61412903,0
true.cases_on,49980,855753510,6998556139,33525087053,809,6178176477,215406292,0
tactic.interactive.case_tag.match_result.fuzzy_match.inj_arrow,26209,860880185,2150301564,8880405320,611,1860440468,227052704,0
feature_search.feature_cfg.ignore_conns,100607,716363157,8577068281,33550179011,898,6631722161,196512534,0
heq.rfl,58021,718892143,6650829290,36495447858,618,6801943870,351298209,0
tactic.apply_cfg.instances._default.equations._eqn_1,48476,888497310,5554980346,32462678688,743,6289938474,422196783,0
io.process.stdio.null.inj_arrow,26209,885105183,2114596878,8779824869,683,1851491467,226241276,0
congr_arg_kind.fixed.inj_arrow,28553,869634473,2319157592,9444494866,632,1985395650,285058595,0
widget.mouse_event_kind.on_mouse_enter.inj_arrow,26209,888984434,2236364798,8936706272,691,2085733307,225565080,0
list.last._main._proof_1,79766,730570082,6965145118,36345034906,810,5979777559,234320955,0
tactic.new_goals.all.inj_arrow,26209,849449076,2005880264,8711261483,472,1801841746,224706820,0
tactic.simp_config.contextual._default.equations._eqn_1,48543,887325275,6235947709,31347294908,673,6045533066,470181398,0
bool.sizeof._main,19555,908366882,1737585024,7121935652,663,1498040672,155067919,0
fun_info.result_deps,102455,1238154483,10803270335,34611000334,681,7094300127,431309968,0
vm_obj_kind.simple.inj_arrow,33405,898974388,3043244723,12777911063,548,2635495161,427494866,0
congr_arg_kind.heq.inj_arrow,28553,1134476335,2644885063,9528489586,724,2083407988,286133289,0
format.color.orange.inj_arrow,29352,886700271,2845723424,9815042862,488,2110925818,306073281,0
punit.sizeof._main,18955,895134693,1603443560,6907212382,396,1421711152,143109607,0
vm_obj_kind.format.inj_arrow,35337,1378958805,3984440892,13561956962,1274,3011125254,443312152,0
string.to_list,-1,-1,-1,-1,-1,-1,-1,-1234
ulift.down,120576,747565263,12631361136,38598022394,631,8192266265,107961292,0
tactic.dsimp_config.proj._default.equations._eqn_1,48476,893053254,5946211109,31889055243,1055,6246086574,447801310,0
int.has_one,59699,916663525,4939226980,19206146399,508,3947307142,243434722,0
environment.implicit_infer_kind.relaxed_implicit.inj_arrow,26209,1234460836,3634479785,13523080961,521,2028167665,225946548,0
true.dcases_on,100499,558353765,8146016354,33321570904,914,6508413939,80391916,0
monad_io_terminal.cmdline_args,-1,-1,-1,-1,-1,-1,-1,-1234
tactic.unfold_proj_config.cases_on,89900,1341018325,8314532503,30956699632,1201,6556732473,541043702,0
function.comp_right,46595,394177753,4011882203,15747743339,532,3209632176,67247003,0
nat.has_lt.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1234
function.comp_left,46255,538101487,3866669326,15797054793,702,3157819482,67489350,0
combinator.S,45724,407091101,3838938243,15646317334,624,3132685986,71123805,0
has_to_string.rec_on,-1,-1,-1,-1,-1,-1,-1,-1234
and.right,123969,821804268,10571298901,48340603629,857,12062738713,108365748,0
bool.has_sizeof,54544,1036208962,4279757540,17859445502,386,3666613046,228281143,0
has_repr.rec_on,-1,-1,-1,-1,-1,-1,-1,-1234
anti_symmetric,114806,536651860,8853170795,36735544686,600,6996058157,51806863,0
string.iterator.next_to_string,-1,-1,-1,-1,-1,-1,-1,-1234
has_neg.neg,132927,838628186,13892736264,65949577899,518,9828426931,115873240,0
has_inv.inv,132927,817795706,15547776053,65289559082,804,10626013595,117022729,0
subsingleton_info.cases_on,81525,698708520,6564589481,28616741207,674,5767239071,190554907,0
monad_io_terminal.put_str,-1,-1,-1,-1,-1,-1,-1,-1234
unification_hint.rec_on,88471,868017375,7463557786,31345002862,342,5961564350,319299145,0
tactic.unfold_config.canonize_instances._default.equations._eqn_1,65641,1047840258,5306450034,24707153717,784,4943078145,529507965,0
has_sdiff.sdiff,146101,586014961,12606619403,52655583428,709,10487331307,124175925,0
int.has_coe.equations._eqn_1,135911,1377817603,16353384133,50704724004,1304,10448633936,363005999,0
widget.mouse_event_kind.cases_on,112297,555340276,11350757428,36439947177,1022,7130898589,137678777,0
vm_decl_kind.rec_on,112297,561863133,10034773978,37039020149,938,7855672274,136864795,0
tactic.dsimp_config.eta,158558,1035874183,13573909864,56355184297,734,10797498185,466005996,0
tactic.simp_intros_config.cases_on,94820,1455274767,11443276191,40084680858,1114,7315862700,533650081,0
monad_io_environment.get_cwd,-1,-1,-1,-1,-1,-1,-1,-1234
plift.cases_on,122962,587481821,10387726710,39792135087,867,7769624925,141396296,0
option.inhabited.equations._eqn_1,119270,890493718,9795351450,38387285305,549,7421039351,285386696,0
widget.mouse_event_kind.rec_on,112297,908736658,13540693261,45998994022,803,8113361245,137521136,0
has_emptyc.rec_on,122962,756339890,12817955808,39664886327,688,8556729297,141625170,0
nat.cases_on,124284,705199736,14759979530,41016535617,1176,8796758583,154715599,0
nat.lt_succ_self,-1,-1,-1,-1,-1,-1,-1,-1234
inhabited.rec_on,122962,659893192,12631135032,44142702731,708,8129532063,139345564,0
cc_config.cases_on,-1,-1,-1,-1,-1,-1,-1,-1234
std_gen.cases_on,82125,994722796,9366571645,57185316201,674,10720864151,414703866,0
bit0,165145,575573083,13998598970,57784835285,804,11162704197,124250060,0
subsingleton.elim,169826,927785837,16924614619,59128351314,799,12387531302,188224925,0
tactic.simp_config.contextual,187046,968879392,20101019095,64959728240,799,12521230291,447141763,0
subtype.val,207312,809601046,20460541998,68446197573,861,13891311515,160879277,0
cond._main,94178,599020694,7657693855,31653085017,359,6241110763,99263268,0
cond._sunfold,94178,567141904,7622581394,31582233909,451,6238070767,99290054,0
is_preorder.to_is_trans,190731,1098145650,18816332241,64512881352,848,13399992229,301883911,0
or_self,246475,739077287,21897841196,79492853386,732,15741926151,204058898,0
is_total_preorder.to_is_trans,193593,1126673758,18386832510,65292048581,898,13194214376,407193209,0
_private.2042382769.V.equations._eqn_1,110043,931134946,9306585309,36291148449,1061,7161724285,239692690,0
coe_fn,-1,-1,-1,-1,-1,-1,-1,1
list.below,237206,1183844986,20968307750,75874556691,582,14891916288,185754189,0
is_linear_order.to_is_partial_order,204395,1900533300,18044077187,67855882809,931,13363613350,711765500,0
