name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
vector.map₂.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
int.land.equations._eqn_2,-1,-1,-1,-1,-1,-1,200
int.ldiff.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
int.lor.equations._eqn_3,-1,-1,-1,-1,-1,-1,200
int.lor.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
int.ldiff.equations._eqn_4,-1,-1,-1,-1,-1,-1,200
nat.bitwise.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
max_eq_right_of_lt,-1,-1,-1,-1,-1,-1,200
min_assoc,-1,-1,-1,-1,-1,-1,200
nat.gcd_def,-1,-1,-1,-1,-1,-1,200
int.ldiff._sunfold,-1,-1,-1,-1,-1,-1,200
min_left_comm,-1,-1,-1,-1,-1,-1,200
fin.mul_def,-1,-1,-1,-1,-1,-1,200
nat.binary_rec.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
max_left_comm,-1,-1,-1,-1,-1,-1,200
min_eq_left,-1,-1,-1,-1,-1,-1,200
int.neg_ne_of_pos,-1,-1,-1,-1,-1,-1,200
int.sub_le_sub,-1,-1,-1,-1,-1,-1,200
int.lt_of_add_lt_add_left,-1,-1,-1,-1,-1,-1,200
io_rand_nat.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
int.to_nat_sub,-1,-1,-1,-1,-1,-1,200
int.le_of_neg_le_neg,-1,-1,-1,-1,-1,-1,200
int.lt_add_of_sub_left_lt,-1,-1,-1,-1,-1,-1,200
fin.add.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
int.le_of_sub_one_lt,-1,-1,-1,-1,-1,-1,200
int.le_sub_one_of_lt,-1,-1,-1,-1,-1,-1,200
int.add_le_add_left,-1,-1,-1,-1,-1,-1,200
fin.of_nat.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
nat.bits,-1,-1,-1,-1,-1,-1,200
d_array.of_beq_aux_eq_tt,-1,-1,-1,-1,-1,-1,200
int.neg_mul_eq_mul_neg,-1,-1,-1,-1,-1,-1,200
le_min,-1,-1,-1,-1,-1,-1,200
int.mul_neg_eq_neg_mul_symm,-1,-1,-1,-1,-1,-1,200
rand_bool,-1,-1,-1,-1,-1,-1,200
_private.4071477653.rand_nat_aux._match_1,-1,-1,-1,-1,-1,-1,200
nat.gcd._main.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
le_max_left,-1,-1,-1,-1,-1,-1,200
int.neg_eq_of_add_eq_zero,-1,-1,-1,-1,-1,-1,200
lt_by_cases._proof_1,-1,-1,-1,-1,-1,-1,200
int.distrib_right,-1,-1,-1,-1,-1,-1,200
fin.sub._sunfold,-1,-1,-1,-1,-1,-1,200
fin.has_add,-1,-1,-1,-1,-1,-1,200
unsigned.has_mod,-1,-1,-1,-1,-1,-1,200
fin.mod._sunfold,-1,-1,-1,-1,-1,-1,200
fin.div._main,-1,-1,-1,-1,-1,-1,200
nat.decidable_dvd.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
int.gcd,-1,-1,-1,-1,-1,-1,200
nat.gcd._main,-1,-1,-1,-1,-1,-1,200
lt_trichotomy,-1,-1,-1,-1,-1,-1,200
int.sub_nat_nat_add,-1,-1,-1,-1,-1,-1,200
nat.strong_rec_on.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
int.add_assoc_aux2,-1,-1,-1,-1,-1,-1,200
nat.find_min,-1,-1,-1,-1,-1,-1,200
lt_of_not_ge,-1,-1,-1,-1,-1,-1,200
nat.mul_lt_mul,-1,-1,-1,-1,-1,-1,200
nat.zero_mod,-1,-1,-1,-1,-1,-1,200
nat.dvd_antisymm,-1,-1,-1,-1,-1,-1,200
