name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
Lean.Parser.Tactic.refine\\',-1,-1,-1,-1,-1,-1,-1,-1239
BitVec.toNat_zeroExtend\\',-1,-1,-1,-1,-1,-1,-1,101
Nat.add_lt_of_lt_sub\\',-1,-1,-1,-1,-1,-1,-1,-1234
Nat.sub_le_iff_le_add\\',-1,-1,-1,-1,-1,-1,-1,-1234
Nat.le_sub_iff_add_le\\',-1,-1,-1,-1,-1,-1,-1,-1234
Lean.Omega.IntList.gcd_cons_div_right\\',-1,-1,-1,-1,-1,-1,-1,-1234
Fin.le_def,221304,1684546472,24390847497,76279686695,871,16621213203,779956516,1
forall_congr\\',281505,836901566,38633100398,105969517772,957,22096109639,266845312,1
Int.eq_natAbs_of_zero_le.match_1,394496,655349519,39609790808,107046466031,1060,23822975530,462096476,1
Lean.Omega.LinearCombo.const,36521,560020881,2385879099,10920143814,1040,2361174873,299568768,1
Int.subNatNat_elim.match_1,317154,1200331563,36496864717,127512845841,1029,24357029178,333855307,1
List.forM_nil\\',286510,3812390992,34065791768,124037431065,956,24234616678,1331905274,1
Int.lt_of_sub_pos,-1,-1,-1,-1,-1,-1,-1,-1234
Substring.takeRight,-1,-1,-1,-1,-1,-1,-1,247
iff_true,336973,1742267474,47114731674,151704142790,734,28445028541,418792818,1
ForIn.recOn,368665,3934314612,66952373549,131548801069,890,31713016603,1552053418,1
not_and\\',416537,1404529156,57769863124,208977733979,602,53134591618,374304666,1
Substring.dropWhile,-1,-1,-1,-1,-1,-1,-1,247
String.foldrAux._unary.proof_1,-1,9549078727,-1,-1,-1,-1,-1,1
instReprExcept.match_1,387365,1397315635,78680296161,272250734410,1457,53611610232,761800838,1
OptionT.tryCatch,631206,2556570619,107362935163,251844071910,616,53880858527,1268361898,1
String.get,-1,-1,-1,-1,-1,-1,-1,247
iff_def\\',703534,1238208817,132486359508,268393675821,1167,57903968535,346856530,1
FloatArray.foldlM.loop,-1,17660421264,-1,-1,-1,-1,-1,1
instMinFloat,547716,3631809541,133777777678,460342416756,1123,71289855444,1783439138,1
_private.Init.Data.Nat.Basic.0.Nat.repeatTR.loop._eq_2,1160834,945319202,250708768962,341836170169,849,89442318052,644572997,1
Nat.le_max_left,-1,85501616958,-1,-1,-1,-1,-1,1
String.Pos.mk.sizeOf_spec,1139929,2468940475,234323836814,465565439450,982,104759737383,808148010,1
StdGen.noConfusion,1281978,1406688767,352694602067,483028906368,846,118354082085,547776837,1
Lean.Omega.instDecidableEqLinearCombo,-1,5576534604,-1,-1,-1,-1,-1,1
HomogeneousPow.noConfusion,1243940,1457562565,383239606688,500623031370,899,124120093887,563428769,1
Nat.pow_mul\\',-1,40090982613,-1,-1,-1,-1,-1,1
PSum.inr.sizeOf_spec,1211920,2770158853,315857122897,465191686083,1075,112321668788,952178315,1
Substring.bsize,1287500,3678721753,396342164604,494775820325,826,129106103668,2015976351,1
Int.noConfusion,1383828,1558676956,451735651647,517089708365,743,136786281656,618472769,1
Int.zero_ne_negSucc,1707453,933681033,575520507441,445196830298,1050,138788379637,522431805,1
Lean.Omega.Constraint.noConfusion,1341754,2886759754,539758405542,508697061129,1190,140905425529,790970635,1
List.notElem,1413403,3613256876,476985755790,561881580471,766,149459707293,525264728,1
Int.add_assoc.match_1,1408616,1537257023,482985251569,526700935566,583,181669804277,1570323197,1
Lean.Omega.LinearCombo.noConfusion,1396708,1808004568,508113621162,560837396017,1178,141078850562,784882727,1
Array.append_eq_append,-1,34356593854,-1,-1,-1,-1,-1,1
List.enumFrom,1625340,2706459637,507654920294,575555401248,744,150816998358,623421545,1
Int.ofNat_add_negSucc,1478084,3076188637,511679875316,585367075019,851,153266694272,1082567980,1
Subtype._sizeOf_inst,1548763,2587775917,556555082943,570698996875,634,156438336136,656876413,1
Std.Associative.noConfusion,1507355,1602789065,529021816490,623184239724,754,157310465365,861789436,1
Insert.noConfusion,1549406,1463358622,618256408476,566857893840,994,161538428338,695560537,1
ULift._sizeOf_1,1249185,4131670771,669975700485,515736616974,946,167879863052,544398911,1
Nat.Linear.Expr.add.inj,1555522,2465329070,593759762754,624361209561,805,165406179102,964934458,1
Int.sub_eq_add_neg,1895791,1473925846,570531256228,510625470393,1020,142488738603,1071353020,1
Option.instForAllOptionDecidableForAllMemInstMembershipOption.match_1,1896313,1958998115,661477309073,764939556739,833,172559286172,517580705,1
Lean.Data.AC.removeNeutrals,1911869,2256393757,839521092436,678209398003,928,190755565940,730670407,1
