name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
io.mode.read.inj,12651,855611318,2360613028,4365429235,496,967963599,234357395,0
int.of_nat_nonneg,8956,3107381975,1260891664,3406121680,980,749960840,131557965,0
tactic.simp_config.memoize._default,3789,542256215,429473544,1327996343,412,316442769,82351259,0
tactic.apply_cfg.new_goals._default.equations._eqn_1,49901,724736330,5572004043,16901995812,478,3429296749,196842188,0
nat.bit_zero,49293,2170664518,4367858299,16728034280,541,3365648839,199211590,0
tactic.transparency.semireducible.inj_arrow,27910,847699824,2209512231,9124175943,553,1968563159,266492102,0
list.empty.equations._eqn_2,61729,982759819,5738519080,19840673057,587,4036141678,290952202,0
vm_obj_kind.declaration.inj_arrow,35337,864260332,2772095625,12971558035,697,2648347948,440757562,0
string.iterator.set_curr._main.equations._eqn_1,239799,2608058620,22132680414,77405747988,477,15082565632,4066045170,0
reader_t.run,291547,574321193,25999398115,104674990282,823,20032724399,173639427,0
decidable_eq.equations._eqn_1,128264,1031782294,10609449634,40303514741,615,7854049616,334287542,0
smt_config.em_cfg,309736,3737314165,29844525794,111312160091,792,21099738274,5860778011,0
tactic.interactive.case_tag.cases_on,404596,3142016468,43176356290,138094727652,777,27509941018,5742332268,0
_private.1165308017.tagged_proof.wf.equations._eqn_1,47175,759926300,4242875949,16464521252,867,3376327053,154550367,0
setoid.has_sizeof_inst,549432,2727526831,53784922132,201335137491,618,39837740916,687081553,0
xor.decidable._match_2.equations._eqn_1,69959,1058675197,6009932011,25678529675,684,5099329040,160873027,0
or.resolve_right,188470,874021364,17453551600,64679525488,442,12807181132,149357642,0
option_t.pure.equations._eqn_1,708562,2313233792,66709389240,240555935913,555,45757487035,1196506687,0
dif_neg,710632,1110175094,70539947265,244435404192,952,47110666301,350778832,0
int.lxor._main.equations._eqn_3,-1,-1,-1,-1,-1,-1,-1,1
monad_functor.sizeof,414866,2122957681,38954445335,136249106980,1183,26666409829,346872061,0
random_gen.mk.sizeof_spec,75388,2511922667,6992759464,27302843096,903,5562493413,334823408,0
int.neg_zero,63986,1970345331,5524361670,20588743088,493,4182624864,274723002,0
option.decidable_eq.equations._eqn_2,843122,1635174469,82359755411,277838575183,721,53636129986,515094521,0
monad.mapm\'.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,-1236
match_failed,-1,-1,-1,-1,-1,-1,-1,1
buffer.rev_iterate._main.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
lt_iff_not_ge,-1,-1,-1,-1,-1,-1,-1,1
is_lawful_monad.map_pure._default,-1,-1,-1,-1,-1,-1,-1,1
binder_info.has_repr._match_1.equations._eqn_5,-1,-1,-1,-1,-1,-1,-1,1
except_t.bind_cont._sunfold,1105991,2201510358,110271091792,399350219467,837,78666908650,1065981940,0
expr.coord.repr.equations._eqn_5,-1,-1,-1,-1,-1,-1,-1,1
nat.one_pos,-1,-1,-1,-1,-1,-1,-1,1
vm_obj_kind.simple.inj_arrow,35337,858836559,3796370118,13062144943,696,2626539369,440178329,0
preorder.lt_iff_le_not_le,-1,-1,-1,-1,-1,-1,-1,1
_private.3275814439.name.components\'.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
fin.has_repr.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1,1
