idx,name
2443,setoid.has_sizeof_inst
2018,vector.nil
2858,option.decidable_eq.equations._eqn_2
5166,io.mode.read.inj
6150,match_failed
3812,dlist.cons._main
2169,except_t.bind_cont._sunfold
6443,int.mod._main.equations._eqn_2
2931,list.mfirst._main
4008,buffer.read'
6109,int.of_nat_nonneg
6233,list.empty.equations._eqn_2
80,int.sub_left_lt_of_lt_add
2798,dif_neg
924,tactic.interactive.case_tag.cases_on
6979,option_t.pure.equations._eqn_1
5081,_private.3275814439.name.components'.equations._eqn_1
1127,prod.decidable_eq
6351,string.iterator.set_curr._main.equations._eqn_1
2922,list.nth
5404,int.sub_eq_zero_iff_eq
2518,is_lawful_monad.map_pure._default
5452,fin.has_repr.equations._eqn_1
4664,fin.decidable_lt.equations._eqn_1
5388,binder_info.has_repr._match_1.equations._eqn_5
280,lt_iff_not_ge
1849,buffer.rev_iterate._main.equations._eqn_1
7177,nat.bit_zero
4585,nat.mul_le_mul_of_nonneg_right
2259,list.map_id
6757,expr.coord.repr.equations._eqn_5
6559,tactic.apply_cfg.new_goals._default.equations._eqn_1
2040,tactic.simp_config.memoize._default
215,preorder.lt_iff_le_not_le
6312,tactic.transparency.semireducible.inj_arrow
1312,reader_t.run
6502,list.qsort.F._sunfold
6474,vm_obj_kind.declaration.inj_arrow
2764,smt_config.em_cfg
5966,nat.mod_le
4922,decidable_eq.equations._eqn_1
1012,monad_functor.sizeof
4224,list.nth_le._main.equations._eqn_1
7070,_private.2536046397.to_nat_core.equations._eqn_2
2403,_private.1165308017.tagged_proof.wf.equations._eqn_1
189,or.resolve_right
917,xor.decidable._match_2.equations._eqn_1
6344,is_cond_left_inv.drec_on
3513,random_gen.mk.sizeof_spec
3964,int.lxor._main.equations._eqn_3
1390,int.neg_zero
3829,tactic.simp_config.max_steps._default.equations._eqn_1
2600,max_left_comm
1111,decidable_of_decidable_of_iff
5707,name.to_string_with_sep._main.equations._eqn_6
4835,monad.mapm'.equations._eqn_1
6086,list.repr.equations._eqn_2
7083,nat.iterate.equations._eqn_2
2897,coe_decidable_eq.equations._eqn_1
724,list.map_accumr₂._main
4916,pos.mk.inj
1632,vm_obj_kind.simple.inj_arrow
4754,nat.one_pos
2987,heq.cases_on
6937,vm_obj_kind.declaration.inj_eq
3200,string.iterator.extract_core._main.equations._eqn_1
3701,decidable.has_repr
2560,cc_config.has_sizeof_inst
1420,buffer.append_list
3297,environment.projection_info.no_confusion
6781,nat.test_bit_lor
5574,nat.size
767,has_coe_to_sort.coe
857,int.neg_of_nat_eq_sub_nat_nat_zero
6367,has_coe_to_sort.rec_on
1872,io.proc.sleep.equations._eqn_1
2989,string.iterator.has_prev._main
4492,tactic.transparency.all.sizeof_spec
1458,list.zip_with.equations._eqn_2
7283,name.binduction_on
4044,mk_array
2193,_private.4071477653.rand_nat_aux._main
5368,int.fdiv._main.equations._eqn_7
4167,iff_eq_of_eq_true_left
2826,is_antisymm.drec
1712,char.is_lower
4906,tactic.delta_config.visit_instances
944,nat.to_digits._main
4200,has_well_founded.has_sizeof_inst
6142,widget.mouse_event_kind.on_mouse_leave.inj_eq
7235,int.has_one.equations._eqn_1
4431,option_t.no_confusion_type
4953,psum.inr.inj_arrow
5558,list.has_union.equations._eqn_1
4675,fin.sub_def
4456,io.iterate.equations._eqn_1
4011,occurrences.all.inj_arrow
6134,nat.le_lt_antisymm
2110,string.iterator.extract_core._match_1
7009,buffer.equations._eqn_1
5015,char.decidable_is_punctuation.equations._eqn_1
932,name.has_to_string
5794,nat.one_ne_bit1
2069,has_mem.no_confusion_type
6520,name.rec_on
5631,vector.tail._main._proof_1
791,linear_order.min
1500,nat.add_right_comm
5025,int.bit0_pos
5577,subsingleton.cases_on
5073,list.sizeof._sunfold
4619,monad_reader_adapter.no_confusion
2737,dite.equations._eqn_1
3113,list.inhabited
1851,nat.find_x.equations._eqn_1
3117,fin.add._main
1060,vector.cons._main._proof_1
1220,int.add_neg_of_neg_of_nonpos
2887,nat.lt_ge_by_cases
977,monad_io_file_system.stdout
772,imp_congr_eq
7064,nat.decidable_le.equations._eqn_3
3637,list.has_mem.equations._eqn_1
5415,io.net.connect.equations._eqn_1
4488,linear_order.cases_on
5934,nat.div_mul_cancel
5421,char.rec_on
2109,string.iterator.extract_core._main
